Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,0.0023203869593828555,-0.13786120830772758,Pave,No Alley,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0.9243095519901536,-0.5528264124431231,1.1318784336148606,0.9629519699020351,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.001901534237971,1.3415397523106067,-0.23071708818414535,PConc,0.7252673386370082,0.150978223076785,-0.5299418797157507,GLQ,-0.3115324395876765,GasA,0.9438946298625784,Y,SBrkr,-0.7057784489630565,1.5269247574926104,1.0097700733432058,1.1851299555093946,-0.25937554812958963,0.9994015151088947,1.34093921121685,0.3332889267808367,0.9612952113800275,1.4922867999036817,Typ,-0.8306984356853351,-0.8503757334571896,Attchd,1.0698863220460753,RFn,0.5311859777593461,0.628727676362435,0.30472826908537903,0.2881724612677617,Y,0,1,0,0,0,0,No Fence,No Shed,2,0.14389725754717525,WD,Normal,12.247699116372562
2,20,RL,0.9099195688439703,0.18705271873008258,Pave,No Alley,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,0.12031440506325804,2.1264272510943556,0.2290601817334302,-0.31545114439319544,Gable,CompShg,MetalSd,MetalSd,None,-0.5580414751456682,-0.6125305972905739,-0.23071708818414535,CBlock,0.7252673386370082,0.150978223076785,2.516377376126308,ALQ,0.8662584245832345,GasA,0.9438946298625784,Y,SBrkr,0.6943644824749485,-0.7896048694403706,-0.2672859273837318,-0.7837943957835677,3.7039489102327385,0.9994015151088947,-0.7041422685728658,0.3332889267808367,-0.6918569119896399,-0.07376570795674366,Typ,0.8496097828721008,0.871186616385678,Attchd,-0.0114298464840162,RFn,0.5311859777593461,0.15712048630741063,0.30472826908537903,0.2881724612677617,Y,1,0,0,0,0,0,No Fence,No Shed,5,-0.6198406204523111,WD,Normal,12.109016442313738
3,60,RL,0.18384022333630035,0.6532335705669406,Pave,No Alley,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0.9243095519901536,-0.5528264124431231,1.0650030075495693,0.9156037064096192,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.7312991754673396,1.3415397523106067,-0.23071708818414535,PConc,0.7252673386370082,0.150978223076785,0.4854978722316022,GLQ,-0.12587082553117823,GasA,0.9438946298625784,Y,SBrkr,-0.4850662627265237,1.5594755250841745,1.2264135020379543,1.1851299555093946,-0.25937554812958963,0.9994015151088947,1.34093921121685,0.3332889267808367,0.9612952113800275,-0.07376570795674366,Typ,0.8496097828721008,0.871186616385678,Attchd,0.9897888280808832,RFn,0.5311859777593461,0.9502780332181334,0.30472826908537903,0.2881724612677617,Y,0,1,0,0,0,0,No Fence,No Shed,9,0.14389725754717525,WD,Normal,12.317171167298682
4,70,RL,-0.300212673668813,0.17292602625017778,Pave,No Alley,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,0.9243095519901536,-0.5528264124431231,-1.8106403132579494,-0.5995407253476911,Gable,CompShg,Wd Sdng,Wd Shng,None,-0.5580414751456682,-0.6125305972905739,-0.23071708818414535,BrkTil,-0.44876528308376246,1.8839770611686832,-0.5299418797157507,ALQ,-0.6016287115509551,GasA,-0.09960915679194998,Y,SBrkr,-0.34367251841874485,1.2610934888281697,1.0297240733545643,1.1851299555093946,-0.25937554812958963,-0.9263528903097704,-0.7041422685728658,0.3332889267808367,0.9612952113800275,0.7092605459734691,Typ,0.8496097828721008,1.4450407329999673,Detchd,0.8696425871330953,Unf,1.964611355312407,1.1324899021030292,0.30472826908537903,0.2881724612677617,Y,0,1,1,0,0,0,No Fence,No Shed,2,-1.3835784984517976,WD,Abnorml,11.849404844423075
5,60,RL,1.151946017346527,1.503660457857209,Pave,No Alley,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,1.7283046989170494,-0.5528264124431231,1.0315652945169238,0.8209071794247873,Gable,CompShg,VinylSd,VinylSd,BrkFace,2.22757104161083,1.3415397523106067,-0.23071708818414535,PConc,0.7252673386370082,0.150978223076785,1.500937624178955,GLQ,0.5268457863861986,GasA,0.9438946298625784,Y,SBrkr,0.290875017011287,2.066724986719382,2.4008489312779058,1.1851299555093946,-0.25937554812958963,0.9994015151088947,1.34093921121685,1.7023987475808848,0.9612952113800275,2.2753130538338944,Typ,0.8496097828721008,0.871186616385678,Attchd,0.9497400810982872,RFn,1.964611355312407,2.1721693892697878,0.30472826908537903,0.2881724612677617,Y,1,1,0,0,0,0,No Fence,No Shed,12,0.14389725754717525,WD,Normal,12.429220196836386
6,50,RL,1.212452629472166,1.462693049665485,Pave,No Alley,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,-0.6836807418636376,-0.5528264124431231,0.7975013032884049,0.5841658619627076,Gable,CompShg,VinylSd,VinylSd,None,-0.5580414751456682,-0.6125305972905739,-0.23071708818414535,Wood,0.7252673386370082,0.150978223076785,-0.5299418797157507,GLQ,-0.4855902027656437,GasA,0.9438946298625784,Y,SBrkr,-0.912696123559806,0.7457063352950709,0.01777121563567394,1.1851299555093946,-0.25937554812958963,-0.9263528903097704,1.34093921121685,-2.404930714819259,-0.6918569119896399,-0.8567919618869564,Typ,-0.8306984356853351,-0.8503757334571896,Attchd,0.6693988522201154,Unf,0.5311859777593461,0.26430393859264345,0.30472826908537903,0.2881724612677617,Y,1,1,0,1,0,0,MnPrv,Shed,10,0.9076351355466616,WD,Normal,11.870606902224589
7,20,RL,0.6073865082157744,0.32379910193556094,Pave,No Alley,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,1.7283046989170494,-0.5528264124431231,1.1653161466475062,1.057648496886867,Gable,CompShg,VinylSd,VinylSd,Stone,0.9223126051877851,1.3415397523106067,-0.23071708818414535,PConc,1.8992999603577787,0.150978223076785,1.500937624178955,GLQ,2.0962666177075358,GasA,0.9438946298625784,Y,SBrkr,2.184171739571545,-0.7896048694403706,0.964160930460101,1.1851299555093946,-0.25937554812958963,0.9994015151088947,-0.7041422685728658,0.3332889267808367,0.9612952113800275,0.7092605459734691,Typ,0.8496097828721008,1.4450407329999673,Attchd,1.1099350690286711,RFn,0.5311859777593461,1.1003348664174595,0.30472826908537903,0.2881724612677617,Y,1,1,0,0,0,0,No Fence,No Shed,8,-0.6198406204523111,WD,Normal,12.63460628389302
8,60,RL,0.9099195688439703,0.4079941891157935,Pave,No Alley,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,0.9243095519901536,0.34025814206936983,0.12874704263549352,-0.45749593487044327,Gable,CompShg,HdBoard,HdBoard,Stone,1.3520928220587878,-0.6125305972905739,-0.23071708818414535,CBlock,0.7252673386370082,0.150978223076785,0.4854978722316022,ALQ,0.41660920304015275,GasA,0.9438946298625784,Y,SBrkr,0.1598271564333456,1.8768455091019247,2.092987216816948,1.1851299555093946,-0.25937554812958963,0.9994015151088947,1.34093921121685,0.3332889267808367,-0.6918569119896399,0.7092605459734691,Typ,2.529918001429537,0.871186616385678,Attchd,-0.13157608743180413,RFn,0.5311859777593461,0.28574062904969,0.30472826908537903,0.2881724612677617,Y,1,1,1,0,0,0,No Fence,Shed,11,0.9076351355466616,WD,Normal,12.206077645517675
9,50,RM,-0.8447721827995655,-0.7961650778712908,Pave,No Alley,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,0.9243095519901536,-0.5528264124431231,-1.2756369047356204,-1.54650599519601,Gable,CompShg,BrkFace,Wd Shng,None,-0.5580414751456682,-0.6125305972905739,-0.23071708818414535,BrkTil,-0.44876528308376246,0.150978223076785,-0.5299418797157507,Unf,-0.03304001850292907,GasA,-0.09960915679194998,Y,FuseF,-0.13330621591204952,1.250243232964315,1.1922066448756257,-0.7837943957835677,-0.25937554812958963,0.9994015151088947,-0.7041422685728658,-1.0358208940192113,-0.6918569119896399,1.4922867999036817,Min1,2.529918001429537,0.871186616385678,Detchd,-1.8136234607008352,Unf,0.5311859777593461,0.19999386722150375,-1.0244410355252103,0.2881724612677617,Y,1,0,1,0,0,0,No Fence,No Shed,4,0.14389725754717525,WD,Abnorml,11.774527900858466
10,190,RL,-0.9052787949252046,-0.42887107339376623,Pave,No Alley,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,-0.6836807418636376,0.34025814206936983,-1.0081352004744557,-1.54650599519601,Gable,CompShg,MetalSd,MetalSd,None,-0.5580414751456682,-0.6125305972905739,-0.23071708818414535,BrkTil,-0.44876528308376246,0.150978223076785,-0.5299418797157507,GLQ,0.08009752756274957,GasA,0.9438946298625784,Y,SBrkr,0.05636831913497086,-0.7896048694403706,-0.7946416419696324,1.1851299555093946,-0.25937554812958963,-0.9263528903097704,-0.7041422685728658,-1.0358208940192113,-0.6918569119896399,-0.8567919618869564,Typ,2.529918001429537,0.871186616385678,Attchd,-1.4932334848400675,RFn,-0.9022393997937148,-1.2094685303293078,1.6338975736959684,0.2881724612677617,Y,0,1,0,0,0,0,No Fence,No Shed,1,0.14389725754717525,WD,Normal,11.678448377988165
