,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,Heating,HeatingQC,CentralAir,Electrical,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,Has2Floor,HasBsmt
0,1,60,RL,65.0,8450,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,196.0,196.0,4,3,PConc,4,3,1,GasA,5,Y,SBrkr,1,0,2,1,3,4,8,Typ,0,0,Attchd,2003.0,RFn,2,548,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,2,2008,WD,Normal,12.24769911637256,2566,1,1
1,2,20,RL,80.0,9600,Pave,No Alley,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,0.0,0.0,3,3,CBlock,4,3,4,GasA,5,Y,SBrkr,0,1,2,0,3,3,6,Typ,1,3,Attchd,1976.0,RFn,2,460,3,3,Y,1,0,0,0,0,0,No Fence,No Shed,5,2007,WD,Normal,12.109016442313738,2524,0,1
2,3,60,RL,68.0,11250,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,162.0,162.0,4,3,PConc,4,3,2,GasA,5,Y,SBrkr,1,0,2,1,3,4,6,Typ,1,3,Attchd,2001.0,RFn,2,608,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,9,2008,WD,Normal,12.317171167298682,2706,1,1
3,4,70,RL,60.0,9550,Pave,No Alley,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,0.0,0.0,3,3,BrkTil,3,4,1,GasA,4,Y,SBrkr,1,0,1,0,3,4,7,Typ,1,4,Detchd,1998.0,Unf,3,642,3,3,Y,0,1,1,0,0,0,No Fence,No Shed,2,2006,WD,Abnorml,11.849404844423074,2473,1,1
4,5,60,RL,84.0,14260,Pave,No Alley,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,350.0,350.0,4,3,PConc,4,3,3,GasA,5,Y,SBrkr,1,0,2,1,4,4,9,Typ,1,3,Attchd,2000.0,RFn,3,836,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,12,2008,WD,Normal,12.429220196836383,3343,1,1
5,6,50,RL,85.0,14115,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,3,3,Wood,4,3,1,GasA,5,Y,SBrkr,1,0,1,1,1,3,5,Typ,0,0,Attchd,1993.0,Unf,2,480,3,3,Y,1,1,0,1,0,0,MnPrv,Shed,10,2009,WD,Normal,11.870606902224587,2158,1,1
6,7,20,RL,75.0,10084,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,186.0,186.0,4,3,PConc,5,3,3,GasA,5,Y,SBrkr,1,0,2,0,3,4,7,Typ,1,4,Attchd,2004.0,RFn,2,636,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,8,2007,WD,Normal,12.634606283893019,3380,0,1
7,8,60,RL,80.0,10382,Pave,No Alley,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,240.0,240.0,3,3,CBlock,4,3,2,GasA,5,Y,SBrkr,1,0,2,1,3,3,7,Typ,2,3,Attchd,1973.0,RFn,2,484,3,3,Y,1,1,1,0,0,0,No Fence,Shed,11,2009,WD,Normal,12.206077645517674,3197,1,1
8,9,50,RM,51.0,6120,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,0.0,0.0,3,3,BrkTil,3,3,1,GasA,4,Y,FuseF,0,0,2,0,2,3,8,Min1,2,3,Detchd,1931.0,Unf,2,468,2,3,Y,1,0,1,0,0,0,No Fence,No Shed,4,2008,WD,Abnorml,11.774527900858468,2726,1,1
9,10,190,RL,50.0,7420,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,0.0,0.0,3,3,BrkTil,3,3,1,GasA,5,Y,SBrkr,1,0,1,0,2,3,5,Typ,2,3,Attchd,1939.0,RFn,1,205,4,3,Y,0,1,0,0,0,0,No Fence,No Shed,1,2008,WD,Normal,11.678448377988165,2068,0,1
10,11,20,RL,70.0,11200,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,0.0,0.0,3,3,CBlock,3,3,1,GasA,5,Y,SBrkr,1,0,1,0,3,3,5,Typ,0,0,Detchd,1965.0,Unf,1,384,3,3,Y,0,0,0,0,0,0,No Fence,No Shed,2,2008,WD,Normal,11.771443882099637,2080,0,1
11,12,60,RL,85.0,11924,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,286.0,286.0,5,3,PConc,5,3,1,GasA,5,Y,SBrkr,1,0,3,0,4,5,11,Typ,2,4,BuiltIn,2005.0,Fin,3,736,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,7,2006,New,Partial,12.75130259456002,3499,1,1
12,13,20,RL,71.0,12968,Pave,No Alley,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,0.0,0.0,3,3,CBlock,3,3,1,GasA,3,Y,SBrkr,1,0,1,0,2,3,4,Typ,0,0,Detchd,1962.0,Unf,1,352,3,3,Y,1,0,0,0,1,0,No Fence,No Shed,9,2008,WD,Normal,11.87757552297847,1824,0,1
