Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,-0.23187686560428533,-0.20714170777431137,Pave,No Alley,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0.6514792433257058,-0.5171998069472892,1.0509937888999854,0.8786680880058704,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.5141038909843687,1.0523021923393425,-0.23811236115234577,PConc,0.5831678337791103,0.11788424330394001,-0.5905546548144703,GLQ,-0.4593025408311879,GasA,0.8911794397548771,Y,SBrkr,-0.7934337933349012,1.161851587468549,0.37033343921677964,1.1078101491462289,-0.241061035799301,0.7897405221108432,1.2275853765130227,0.16377911687351593,0.735994338762503,0.9122097711602924,Typ,-0.9512264882332819,-1.0083335457279188,Attchd,1.0211566694093055,RFn,0.31172464418307116,0.3510003208665264,0.26254202292023515,0.26561805424588236,Y,0,1,0,0,0,0,No Fence,No Shed,-1.5991110991800306,0.13877748894979391,WD,Normal,12.247699116372562
2,20,RL,0.43704276249738827,-0.0918863723194904,Pave,No Alley,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,-0.0718361142830625,2.1796277578492917,0.15673371079690995,-0.4295769652193613,Gable,CompShg,MetalSd,MetalSd,None,-0.5707501337786407,-0.6896039310341728,-0.23811236115234577,CBlock,0.5831678337791103,0.11788424330394001,2.220999027889204,ALQ,0.4664649160883464,GasA,0.8911794397548771,Y,SBrkr,0.2571404297894548,-0.7951632272572403,-0.482511914585241,-0.8199643654586509,3.9488093483314066,0.7897405221108432,-0.7616206719986456,0.16377911687351593,-0.7710908429952176,-0.3186832657103426,Typ,0.6004949339126304,0.6488900678886982,Attchd,-0.10448285666217855,RFn,0.31172464418307116,-0.0607310126153032,0.26254202292023515,0.26561805424588236,Y,1,0,0,0,0,0,No Fence,No Shed,-0.4891100509377906,-0.6144386220786338,WD,Normal,12.109016442313738
3,60,RL,-0.09809293998395062,0.07347997855047014,Pave,No Alley,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0.6514792433257058,-0.5171998069472892,0.9847523016330909,0.8302145675160469,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.3259149275050711,1.0523021923393425,-0.23811236115234577,PConc,0.5831678337791103,0.11788424330394001,0.34662990608675426,GLQ,-0.313368754518749,GasA,0.8911794397548771,Y,SBrkr,-0.6278260340246579,1.189350624677811,0.5150125617367652,1.1078101491462289,-0.241061035799301,0.7897405221108432,1.2275853765130227,0.16377911687351593,0.735994338762503,-0.3186832657103426,Typ,0.6004949339126304,0.6488900678886982,Attchd,0.9377759637743809,RFn,0.31172464418307116,0.6317262300586829,0.26254202292023515,0.26561805424588236,Y,0,1,0,0,0,0,No Fence,No Shed,0.9908913467185294,0.13877748894979391,WD,Normal,12.317171167298682
4,70,RL,-0.45485007497150987,-0.09689747386100435,Pave,No Alley,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,0.6514792433257058,-0.5171998069472892,-1.8636316508433717,-0.7202980881583017,Gable,CompShg,Wd Sdng,Wd Shng,None,-0.5707501337786407,-0.6896039310341728,-0.23811236115234577,BrkTil,-0.5581525915794703,1.929578929869757,-0.5905546548144703,ALQ,-0.6873240819443737,GasA,-0.1513862509840015,Y,SBrkr,-0.5217335632165333,0.9372761169262455,0.3836591478699362,1.1078101491462289,-0.241061035799301,-1.0260408358133,-0.7616206719986456,0.16377911687351593,0.735994338762503,0.2967632527249749,Typ,0.6004949339126304,1.201297939094237,Detchd,0.8127049053219937,Unf,1.6503069397927295,0.7908042452675715,0.26254202292023515,0.26561805424588236,Y,0,1,1,0,0,0,No Fence,No Shed,-1.5991110991800306,-1.3676547331070614,WD,Abnorml,11.849404844423075
5,60,RL,0.6154213299911678,0.37514829134961025,Pave,No Alley,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,1.374794600934474,-0.5171998069472892,0.9516315579996437,0.7333075265364002,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.3664891961553047,1.0523021923393425,-0.23811236115234577,PConc,0.5831678337791103,0.11788424330394001,1.2838144669879787,GLQ,0.19967971298591905,GasA,0.8911794397548771,Y,SBrkr,-0.04561125519958375,1.6178772878554721,1.2993256996082665,1.1078101491462289,-0.241061035799301,0.7897405221108432,1.2275853765130227,1.3900227611572744,0.735994338762503,1.52765628959561,Typ,0.6004949339126304,0.6488900678886982,Attchd,0.8960856109569184,RFn,1.6503069397927295,1.6984846849888777,0.26254202292023515,0.26561805424588236,Y,1,1,0,0,0,0,No Fence,No Shed,2.1008923949607694,0.13877748894979391,WD,Normal,12.429220196836386
6,50,RL,0.6600159718646128,0.3606160968792198,Pave,No Alley,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,-0.7951514718918308,-0.5171998069472892,0.719786352565513,0.49103992408728325,Gable,CompShg,VinylSd,VinylSd,None,-0.5707501337786407,-0.6896039310341728,-0.23811236115234577,Wood,0.5831678337791103,0.11788424330394001,-0.5905546548144703,GLQ,-0.5961154654990993,GasA,0.8911794397548771,Y,SBrkr,-0.9486910676882543,0.5018746944462689,-0.2921446481115757,1.1078101491462289,-0.241061035799301,-1.0260408358133,1.2275853765130227,-2.288708171694001,-0.7710908429952176,-0.9341297841456602,Typ,-0.9512264882332819,-1.0083335457279188,Attchd,0.6042531412346819,Unf,0.31172464418307116,0.032844290448748974,0.26254202292023515,0.26561805424588236,Y,1,1,0,1,0,0,MnPrv,Shed,1.3608916961326094,0.8919935999782216,WD,Normal,11.870606902224589
7,20,RL,0.21406955313016374,-0.04337890939763531,Pave,No Alley,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,1.374794600934474,-0.5171998069472892,1.0841145325334327,0.9755751289855171,Gable,CompShg,VinylSd,VinylSd,Stone,0.4587541958433988,1.0523021923393425,-0.23811236115234577,PConc,1.7244882591376909,0.11788424330394001,1.2838144669879787,GLQ,1.4332762504082541,GasA,0.8911794397548771,Y,SBrkr,1.3749928051335971,-0.7951632272572403,0.3398746765809932,1.1078101491462289,-0.241061035799301,0.7897405221108432,-0.7616206719986456,0.16377911687351593,0.735994338762503,0.2967632527249749,Typ,0.6004949339126304,1.201297939094237,Attchd,1.0628470222267679,RFn,0.31172464418307116,0.762731654348356,0.26254202292023515,0.26561805424588236,Y,1,1,0,0,0,0,No Fence,No Shed,0.6208909973044494,-0.6144386220786338,WD,Normal,12.63460628389302
8,60,RL,0.43704276249738827,-0.013512744210212133,Pave,No Alley,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,0.6514792433257058,0.3817427146515711,0.057371479896568225,-0.5749375266888315,Gable,CompShg,HdBoard,HdBoard,Stone,0.7576425496046361,-0.6896039310341728,-0.23811236115234577,CBlock,0.5831678337791103,0.11788424330394001,0.34662990608675426,ALQ,0.11303152736290843,GasA,0.8911794397548771,Y,SBrkr,-0.14394086229004072,1.4574662374681122,1.0937290518167078,1.1078101491462289,-0.241061035799301,0.7897405221108432,1.2275853765130227,0.16377911687351593,-0.7710908429952176,0.2967632527249749,Typ,2.152216356058543,0.6488900678886982,Attchd,-0.22955391511456566,RFn,0.31172464418307116,0.051559351061559414,0.26254202292023515,0.26561805424588236,Y,1,1,1,0,0,0,No Fence,Shed,1.7308920455466894,0.8919935999782216,WD,Normal,12.206077645517675
9,50,RM,-0.856201851832514,-0.4406590396088617,Pave,No Alley,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,0.6514792433257058,-0.5171998069472892,-1.333699752708216,-1.6893684979547696,Gable,CompShg,BrkFace,Wd Shng,None,-0.5707501337786407,-0.6896039310341728,-0.23811236115234577,BrkTil,-0.5581525915794703,0.11788424330394001,-0.5905546548144703,Unf,-0.24040186136252953,GasA,-0.1513862509840015,Y,FuseF,-0.3638886676239576,0.928109771189825,0.49216848975992544,-0.8199643654586509,-0.241061035799301,0.7897405221108432,-0.7616206719986456,-1.0624645274102424,-0.7710908429952176,0.9122097711602924,Min1,2.152216356058543,0.6488900678886982,Detchd,-1.9805487334479854,Unf,0.31172464418307116,-0.02330089138968233,-1.1212534769481521,0.26561805424588236,Y,1,0,1,0,0,0,No Fence,No Shed,-0.8591104003518706,0.13877748894979391,WD,Abnorml,11.774527900858466
10,190,RL,-0.9007964937059589,-0.31037039952949885,Pave,No Alley,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,-0.7951514718918308,0.3817427146515711,-1.068733803640638,-1.6893684979547696,Gable,CompShg,MetalSd,MetalSd,None,-0.5707501337786407,-0.6896039310341728,-0.23811236115234577,BrkTil,-0.5581525915794703,0.11788424330394001,-0.5905546548144703,GLQ,-0.15147346032838707,GasA,0.8911794397548771,Y,SBrkr,-0.22156949946671728,-0.7951632272572403,-0.8346913575615219,1.1078101491462289,-0.241061035799301,-1.0260408358133,-0.7616206719986456,-1.0624645274102424,-0.7710908429952176,-0.9341297841456602,Typ,2.152216356058543,0.6488900678886982,Attchd,-1.6470259109082863,RFn,-1.026857651426587,-1.2538161266819685,1.6463375227886223,0.26561805424588236,Y,0,1,0,0,0,0,No Fence,No Shed,-1.9691114485941106,0.13877748894979391,WD,Normal,11.678448377988165
11,20,RL,-0.008903656237060804,0.06846887700895618,Pave,No Alley,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,-0.7951514718918308,-0.5171998069472892,-0.2075944691710097,-0.9625656906074186,Hip,CompShg,HdBoard,HdBoard,None,-0.5707501337786407,-0.6896039310341728,-0.23811236115234577,CBlock,-0.5581525915794703,0.11788424330394001,-0.5905546548144703,Rec,-0.039742905182926044,GasA,0.8911794397548771,Y,SBrkr,-0.31731148531795167,-0.7951632272572403,-0.9051272461567781,1.1078101491462289,-0.241061035799301,-1.0260408358133,-0.7616206719986456,0.16377911687351593,-0.7710908429952176,-0.9341297841456602,Typ,-0.9512264882332819,-1.0083335457279188,Detchd,-0.5630767376542647,Unf,-1.026857651426587,-0.41631716425870147,0.26254202292023515,0.26561805424588236,Y,0,0,0,0,0,0,No Fence,No Shed,-1.5991110991800306,0.13877748894979391,WD,Normal,11.771443882099636
12,60,RL,0.6600159718646128,0.14102962733007826,Pave,No Alley,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,2.0981099585432426,-0.5171998069472892,1.11723527616688,1.0240286494753406,Hip,CompShg,WdShing,Wd Shng,Stone,1.0122511472530975,2.794208315712858,-0.23811236115234577,PConc,1.7244882591376909,0.11788424330394001,-0.5905546548144703,GLQ,0.2680861753198748,GasA,0.8911794397548771,Y,SBrkr,0.05013073065165066,1.8218284804908296,1.5391884553650848,1.1078101491462289,-0.241061035799301,2.6055218800349866,-0.7616206719986456,1.3900227611572744,2.2430795205202236,2.758549326466245,Typ,2.152216356058543,1.201297939094237,BuiltIn,1.1045373750442304,Fin,1.6503069397927295,1.2306081696686169,0.26254202292023515,0.26561805424588236,Y,1,1,0,0,0,0,No Fence,No Shed,0.2508906478903694,-1.3676547331070614,New,Partial,12.75130259456002
13,20,RL,0.0356909856363841,0.24566142751688966,Pave,No Alley,IR2,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,-0.7951514718918308,0.3817427146515711,-0.3069567000713514,-1.1079262520768889,Hip,CompShg,HdBoard,Plywood,None,-0.5707501337786407,-0.6896039310341728,-0.23811236115234577,CBlock,-0.5581525915794703,0.11788424330394001,-0.5905546548144703,ALQ,-0.33161047780780384,GasA,-1.19395194172288,Y,SBrkr,-0.6485270039384383,-0.7951632272572403,-1.1487973472430697,1.1078101491462289,-0.241061035799301,-1.0260408358133,-0.7616206719986456,-1.0624645274102424,-0.7710908429952176,-1.5495763025809777,Typ,-0.9512264882332819,-1.0083335457279188,Detchd,-0.6881477961066518,Unf,-1.026857651426587,-0.5660376491611849,0.26254202292023515,0.26561805424588236,Y,1,0,0,0,1,0,No Fence,No Shed,0.9908913467185294,0.13877748894979391,WD,Normal,11.87757552297847
14,20,RL,0.9275838231052822,0.013547204113963228,Pave,No Alley,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,0.6514792433257058,-0.5171998069472892,1.150356019800327,1.0724821699651639,Gable,CompShg,VinylSd,VinylSd,Stone,1.1229505375350373,1.0523021923393425,-0.23811236115234577,PConc,0.5831678337791103,0.11788424330394001,1.2838144669879787,Unf,0.9954748914709375,GasA,0.8911794397548771,Y,SBrkr,0.8574685572890868,-0.7951632272572403,-0.04085985636633747,-0.8199643654586509,-0.241061035799301,0.7897405221108432,-0.7616206719986456,0.16377911687351593,0.735994338762503,0.2967632527249749,Typ,0.6004949339126304,1.201297939094237,Attchd,1.1462277278616928,RFn,1.6503069397927295,1.717199745601688,0.26254202292023515,0.26561805424588236,Y,1,1,0,0,0,0,No Fence,No Shed,0.6208909973044494,-0.6144386220786338,New,Partial,12.540761149388421
