Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,Heating,HeatingQC,CentralAir,Electrical,BedroomAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalBaths,CarCapacity
1,60,RL,-0.2091331937483712,-0.2156364589963938,Pave,No Alley,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0.6492047270274389,-0.5072951451971087,1.0469140499179102,0.8977414603063211,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.5338305686557839,1.0437502187073582,-0.2301713547281517,PConc,0.61666893008334,-0.0097190399646904,-0.6480119204930016,GLQ,GasA,0.8864324854613885,Y,SBrkr,0.16963124030871665,0.7415185647590924,Typ,-0.9246099128032264,0.0010438362450241974,Attchd,RFn,0.15350177661026865,0.12758014784646926,Y,0,1,0,0,0,0,No Fence,No Shed,2,0.15747704540376914,WD,Normal,12.247699116372562,0.030273701856673763,1.5901578110415069,0.15776233195619765
2,20,RL,0.4981922185503925,-0.0675577449586799,Pave,No Alley,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,-0.061945154269334876,2.187190544046552,0.1553923693366879,-0.3946516765164488,Gable,CompShg,MetalSd,MetalSd,None,-0.5671527197050009,-0.6835912329104947,-0.2301713547281517,CBlock,0.61666893008334,-0.0097190399646904,2.2605550384519373,ALQ,GasA,0.8864324854613885,Y,SBrkr,0.16963124030871665,-0.7710975407421293,Typ,0.6275849667213612,-0.8057828263039871,Attchd,RFn,0.15350177661026865,0.12758014784646926,Y,1,0,0,0,0,0,No Fence,No Shed,5,-0.6027929287640951,WD,Normal,12.109016442313738,-0.023502108748436654,0.35084198129487204,-0.08103220402020757
3,60,RL,-0.06766811128861845,0.14490301866064867,Pave,No Alley,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0.6492047270274389,-0.5072951451971087,0.9808754069118936,0.8498750478314037,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.3428436716952397,1.0437502187073582,-0.2301713547281517,PConc,0.61666893008334,-0.0097190399646904,0.3215103991553114,GLQ,GasA,0.8864324854613885,Y,SBrkr,0.16963124030871665,0.7415185647590924,Typ,0.6275849667213612,-0.8057828263039871,Attchd,RFn,0.15350177661026865,0.12758014784646926,Y,0,1,0,0,0,0,No Fence,No Shed,9,0.15747704540376914,WD,Normal,12.317171167298682,0.2095264038737084,1.5901578110415069,0.32057678830374675
4,70,RL,-0.4449083311812925,-0.07399594991684137,Pave,No Alley,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,0.6492047270274389,-0.5072951451971087,-1.8587862423468136,-0.6818501513659533,Gable,CompShg,Wd Sdng,Wd Shng,None,-0.5671527197050009,-0.6835912329104947,-0.2301713547281517,BrkTil,-0.8366880209714778,3.4333532520692587,-0.6480119204930016,ALQ,GasA,-0.15752435121284789,Y,SBrkr,0.16963124030871665,0.7415185647590924,Typ,0.6275849667213612,1.015652666408314,Detchd,Unf,0.15350177661026865,0.12758014784646926,Y,0,1,1,0,0,0,No Fence,No Shed,2,-1.3630629029319592,WD,Abnorml,11.849404844423075,-0.08880130734035642,-0.2688159335784454,1.2838956550267449
5,60,RL,0.6868123284967296,0.5324829571419692,Pave,No Alley,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,1.3603546083242128,-0.5072951451971087,0.9478560854088852,0.7541422228815688,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.3988888666535435,1.0437502187073582,-0.2301713547281517,PConc,0.61666893008334,-0.0097190399646904,1.2910327188036244,GLQ,GasA,0.8864324854613885,Y,SBrkr,1.3849744755426652,0.7415185647590924,Typ,0.6275849667213612,-0.8057828263039871,Attchd,RFn,0.15350177661026865,0.12758014784646926,Y,1,1,0,0,0,0,No Fence,No Shed,12,0.15747704540376914,WD,Normal,12.429220196836386,1.0251261980512163,1.5901578110415069,2.0735457683123597
6,50,RL,0.7339673559833136,0.5138121627633011,Pave,No Alley,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,-0.7730950355661087,-0.5072951451971087,0.7167208348878278,0.5148101605069818,Gable,CompShg,VinylSd,VinylSd,None,-0.5671527197050009,-0.6835912329104947,-0.2301713547281517,Wood,0.61666893008334,-0.0097190399646904,-0.6480119204930016,GLQ,GasA,0.8864324854613885,Y,SBrkr,-2.26105523015918,-0.7710975407421293,Typ,-0.9246099128032264,0.0010438362450241974,Attchd,Unf,0.15350177661026865,0.12758014784646926,Y,1,1,0,1,0,0,MnPrv,Shed,10,0.9177470195716332,WD,Normal,11.870606902224589,-0.4921198868786845,0.35084198129487204,-0.026760718571024567
7,20,RL,0.26241708111747114,-0.0052359209636768465,Pave,No Alley,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,1.3603546083242128,-0.5072951451971087,1.0799333714209185,0.9934742852561558,Gable,CompShg,VinylSd,VinylSd,Stone,0.4776579519026827,1.0437502187073582,-0.2301713547281517,PConc,2.0700258811381578,-0.0097190399646904,1.2910327188036244,GLQ,GasA,0.8864324854613885,Y,SBrkr,0.16963124030871665,0.7415185647590924,Typ,0.6275849667213612,1.015652666408314,Attchd,RFn,0.15350177661026865,0.12758014784646926,Y,1,1,0,0,0,0,No Fence,No Shed,8,-0.6027929287640951,WD,Normal,12.63460628389302,1.0725001264414329,0.9704998961681895,0.39655686793260303
8,60,RL,0.4981922185503925,0.03313578058696552,Pave,No Alley,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,0.6492047270274389,0.3908667512174447,0.056334404827663234,-0.5382509139412012,Gable,CompShg,HdBoard,HdBoard,Stone,0.7809900823694296,-0.6835912329104947,-0.2301713547281517,CBlock,0.61666893008334,-0.0097190399646904,0.3215103991553114,ALQ,GasA,0.8864324854613885,Y,SBrkr,0.16963124030871665,-0.7710975407421293,Typ,2.179779846245949,-0.8057828263039871,Attchd,RFn,0.15350177661026865,0.12758014784646926,Y,1,1,1,0,0,0,No Fence,Shed,11,0.9177470195716332,WD,Normal,12.206077645517675,0.8381912373763086,1.5901578110415069,-0.01590642148118796
9,50,RM,-0.8693035785605504,-0.5156568100467184,Pave,No Alley,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,0.6492047270274389,-0.5072951451971087,-1.3304770982986822,-1.6391784008643016,Gable,CompShg,BrkFace,Wd Shng,None,-0.5671527197050009,-0.6835912329104947,-0.2301713547281517,BrkTil,-0.8366880209714778,-0.0097190399646904,-0.6480119204930016,Unf,GasA,-0.15752435121284789,Y,FuseF,-1.045711994925232,-0.7710975407421293,Min1,2.179779846245949,-0.8057828263039871,Detchd,Unf,-3.916012474989696,0.12758014784646926,Y,1,0,1,0,0,0,No Fence,No Shed,4,0.15747704540376914,WD,Abnorml,11.774527900858464,0.2351339327332848,-0.2688159335784454,-0.059323609840534385
10,190,RL,-0.9164586060471348,-0.3482634811345201,Pave,No Alley,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,-0.7730950355661087,0.3908667512174447,-1.0663225262746163,-1.6391784008643016,Gable,CompShg,MetalSd,MetalSd,None,-0.5671527197050009,-0.6835912329104947,-0.2301713547281517,BrkTil,-0.8366880209714778,-0.0097190399646904,-0.6480119204930016,GLQ,GasA,0.8864324854613885,Y,SBrkr,-1.045711994925232,-0.7710975407421293,Typ,2.179779846245949,-0.8057828263039871,Attchd,RFn,4.2230160282102345,0.12758014784646926,Y,0,1,0,0,0,0,No Fence,No Shed,1,0.15747704540376914,WD,Normal,11.678448377988165,-0.6073537667467782,-0.2688159335784454,-1.051135006424354
