Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalBaths,CarCapacity
1,60,RL,-0.2091331937483711,-0.21563645899639225,Pave,No Alley,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0.6492047270274337,-0.5072951451971113,1.0469140499179068,0.897741460306318,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.533830568655786,1.0437502187073695,-0.2301713547281457,PConc,0.6166689300833305,-0.009719039964678251,-0.6480119204930129,GLQ,GasA,0.8864324854613941,Y,SBrkr,0.4262531421553333,0.16963124030871848,0.7415185647591002,0.9920243555347904,Typ,-0.9246099128032372,0.0010438362450509826,Attchd,1.0015331968862695,RFn,0.15350177661027742,0.12758014784649002,Y,0,1,0,0,0,0,No Fence,No Shed,2,0.15747704540379245,WD,Normal,12.247699116372562,0.030273701856673507,1.5901578110414831,0.15776233195619774
2,20,RL,0.4981922185503914,-0.06755774495867936,Pave,No Alley,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,-0.061945154269334515,2.1871905440465613,0.15539236933668787,-0.3946516765164436,Gable,CompShg,MetalSd,MetalSd,None,-0.5671527197050025,-0.6835912329105025,-0.2301713547281457,CBlock,0.6166689300833305,-0.009719039964678251,2.2605550384519835,ALQ,GasA,0.8864324854613941,Y,SBrkr,-0.4753380628535122,0.16963124030871848,-0.7710975407421373,-0.2865360956207669,Typ,0.6275849667213683,-0.8057828263039846,Attchd,-0.08453294123186057,RFn,0.15350177661027742,0.12758014784649002,Y,1,0,0,0,0,0,No Fence,No Shed,5,-0.6027929287640905,WD,Normal,12.109016442313738,-0.02350210874843681,0.3508419812948667,-0.08103220402020764
3,60,RL,-0.06766811128861862,0.14490301866064778,Pave,No Alley,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0.6492047270274337,-0.5072951451971113,0.9808754069118908,0.8498750478314009,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.3428436716952412,1.0437502187073695,-0.2301713547281457,PConc,0.6166689300833305,-0.009719039964678251,0.32151039915531915,GLQ,GasA,0.8864324854613941,Y,SBrkr,0.5792016501479054,0.16963124030871848,0.7415185647591002,-0.2865360956207669,Typ,0.6275849667213683,-0.8057828263039846,Attchd,0.921083853321964,RFn,0.15350177661027742,0.12758014784649002,Y,0,1,0,0,0,0,No Fence,No Shed,9,0.15747704540379245,WD,Normal,12.317171167298682,0.20952640387370786,1.5901578110414831,0.3205767883037469
4,70,RL,-0.444908331181292,-0.07399594991684079,Pave,No Alley,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,0.6492047270274337,-0.5072951451971113,-1.858786242346807,-0.6818501513659462,Gable,CompShg,Wd Sdng,Wd Shng,None,-0.5671527197050025,-0.6835912329105025,-0.2301713547281457,BrkTil,-0.8366880209714862,3.433353252069121,-0.6480119204930129,ALQ,GasA,-0.1575243512128483,Y,SBrkr,0.4403405047335965,0.16963124030871848,0.7415185647591002,0.3527441299570118,Typ,0.6275849667213683,1.015652666408371,Detchd,0.8004098379755049,Unf,0.15350177661027742,0.12758014784649002,Y,0,1,1,0,0,0,No Fence,No Shed,2,-1.3630629029319734,WD,Abnorml,11.849404844423075,-0.08880130734035646,-0.26881593357844163,1.2838956550267457
5,60,RL,0.6868123284967281,0.5324829571419658,Pave,No Alley,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,1.360354608324202,-0.5072951451971113,0.9478560854088826,0.7541422228815666,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.3988888666535486,1.0437502187073695,-0.2301713547281457,PConc,0.6166689300833305,-0.009719039964678251,1.2910327188036514,GLQ,GasA,0.8864324854613941,Y,SBrkr,1.4083435618971116,1.3849744755426805,0.7415185647591002,1.6313045811125693,Typ,0.6275849667213683,-0.8057828263039846,Attchd,0.8808591815398109,RFn,0.15350177661027742,0.12758014784649002,Y,1,1,0,0,0,0,No Fence,No Shed,12,0.15747704540379245,WD,Normal,12.429220196836386,1.0251261980512143,1.5901578110414831,2.0735457683123597
6,50,RL,0.7339673559833122,0.5138121627632977,Pave,No Alley,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,-0.7730950355661027,-0.5072951451971113,0.7167208348878258,0.5148101605069811,Gable,CompShg,VinylSd,VinylSd,None,-0.5671527197050025,-0.6835912329105025,-0.2301713547281457,Wood,0.6166689300833305,-0.009719039964678251,-0.6480119204930129,GLQ,GasA,0.8864324854613941,Y,SBrkr,-0.27409002602118065,-2.2610552301592053,-0.7710975407421373,-0.9258163211985456,Typ,-0.9246099128032372,0.0010438362450509826,Attchd,0.5992864790647401,Unf,0.15350177661027742,0.12758014784649002,Y,1,1,0,1,0,0,MnPrv,Shed,10,0.9177470195716754,WD,Normal,11.870606902224589,-0.4921198868786838,0.3508419812948667,-0.026760718571024588
7,20,RL,0.2624170811174705,-0.005235920963676729,Pave,No Alley,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,1.360354608324202,-0.5072951451971113,1.079933371420915,0.993474285256152,Gable,CompShg,VinylSd,VinylSd,Stone,0.4776579519026846,1.0437502187073695,-0.2301713547281457,PConc,2.070025881138147,-0.009719039964678251,1.2910327188036514,GLQ,GasA,0.8864324854613941,Y,SBrkr,0.39405345626216026,0.16963124030871848,0.7415185647591002,0.3527441299570118,Typ,0.6275849667213683,1.015652666408371,Attchd,1.0417578686684228,RFn,0.15350177661027742,0.12758014784649002,Y,1,1,0,0,0,0,No Fence,No Shed,8,-0.6027929287640905,WD,Normal,12.63460628389302,1.0725001264414304,0.9704998961681752,0.3965568679326032
8,60,RL,0.4981922185503914,0.03313578058696538,Pave,No Alley,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,0.6492047270274337,0.3908667512174463,0.056334404827663526,-0.5382509139411951,Gable,CompShg,HdBoard,HdBoard,Stone,0.7809900823694325,-0.6835912329105025,-0.2301713547281457,CBlock,0.6166689300833305,-0.009719039964678251,0.32151039915531915,ALQ,GasA,0.8864324854613941,Y,SBrkr,1.1909956821181935,0.16963124030871848,-0.7710975407421373,0.3527441299570118,Typ,2.179779846245974,-0.8057828263039846,Attchd,-0.2052069565783195,RFn,0.15350177661027742,0.12758014784649002,Y,1,1,1,0,0,0,No Fence,Shed,11,0.9177470195716754,WD,Normal,12.206077645517675,0.838191237376307,1.5901578110414831,-0.015906421481187982
9,50,RM,-0.8693035785605494,-0.5156568100467148,Pave,No Alley,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,0.6492047270274337,-0.5072951451971113,-1.330477098298677,-1.6391784008642882,Gable,CompShg,BrkFace,Wd Shng,None,-0.5671527197050025,-0.6835912329105025,-0.2301713547281457,BrkTil,-0.8366880209714862,-0.009719039964678251,-0.6480119204930129,Unf,GasA,-0.1575243512128483,Y,FuseF,0.5550518857280256,-1.0457119949252436,-0.7710975407421373,0.9920243555347904,Min1,2.179779846245974,-0.8057828263039846,Detchd,-1.8946431714287448,Unf,-3.916012474989757,0.12758014784649002,Y,1,0,1,0,0,0,No Fence,No Shed,4,0.15747704540379245,WD,Abnorml,11.774527900858464,0.2351339327332842,-0.26881593357844163,-0.059323609840534426
10,190,RL,-0.9164586060471336,-0.3482634811345177,Pave,No Alley,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,-0.7730950355661027,0.3908667512174463,-1.0663225262746123,-1.6391784008642882,Gable,CompShg,MetalSd,MetalSd,None,-0.5671527197050025,-0.6835912329105025,-0.2301713547281457,BrkTil,-0.8366880209714862,-0.009719039964678251,-0.6480119204930129,GLQ,GasA,0.8864324854613941,Y,SBrkr,-0.8476469309933258,-1.0457119949252436,-0.7710975407421373,-0.9258163211985456,Typ,2.179779846245974,-0.8057828263039846,Attchd,-1.5728457971715206,RFn,4.223016028210312,0.12758014784649002,Y,0,1,0,0,0,0,No Fence,No Shed,1,0.15747704540379245,WD,Normal,11.678448377988165,-0.6073537667467773,-0.26881593357844163,-1.0511350064243543
