Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalBaths,CarCapacity
1,60,RL,65.0,8450,Pave,No Alley,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,4,3,PConc,4.0,3.0,1.0,GLQ,GasA,5,Y,SBrkr,1710,3,4,8,Typ,0,3.4610389610389616,Attchd,2003.0,RFn,3.0,3.0,Y,0,1,0,0,0,0,No Fence,No Shed,2,2008,WD,Normal,12.247699116372562,2566,3.5,1096
2,20,RL,80.0,9600,Pave,No Alley,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,4.0,3.0,4.0,ALQ,GasA,5,Y,SBrkr,1262,3,3,6,Typ,1,3.0,Attchd,1976.0,RFn,3.0,3.0,Y,1,0,0,0,0,0,No Fence,No Shed,5,2007,WD,Normal,12.109016442313738,2524,2.5,920
3,60,RL,68.0,11250,Pave,No Alley,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,4,3,PConc,4.0,3.0,2.0,GLQ,GasA,5,Y,SBrkr,1786,3,4,6,Typ,1,3.0,Attchd,2001.0,RFn,3.0,3.0,Y,0,1,0,0,0,0,No Fence,No Shed,9,2008,WD,Normal,12.317171167298682,2706,3.5,1216
4,70,RL,60.0,9550,Pave,No Alley,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,3,BrkTil,3.0,4.0,1.0,ALQ,GasA,4,Y,SBrkr,1717,3,4,7,Typ,1,4.0,Detchd,1998.0,Unf,3.0,3.0,Y,0,1,1,0,0,0,No Fence,No Shed,2,2006,WD,Abnorml,11.849404844423075,2473,2.0,1926
5,60,RL,84.0,14260,Pave,No Alley,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,4.0,3.0,3.0,GLQ,GasA,5,Y,SBrkr,2198,4,4,9,Typ,1,3.0,Attchd,2000.0,RFn,3.0,3.0,Y,1,1,0,0,0,0,No Fence,No Shed,12,2008,WD,Normal,12.429220196836386,3343,3.5,2508
6,50,RL,85.0,14115,Pave,No Alley,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,Wood,4.0,3.0,1.0,GLQ,GasA,5,Y,SBrkr,1362,1,3,5,Typ,0,3.4610389610389616,Attchd,1993.0,Unf,3.0,3.0,Y,1,1,0,1,0,0,MnPrv,Shed,10,2009,WD,Normal,11.870606902224589,2158,2.5,960
7,20,RL,75.0,10084,Pave,No Alley,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,4,3,PConc,5.0,3.0,3.0,GLQ,GasA,5,Y,SBrkr,1694,3,4,7,Typ,1,4.0,Attchd,2004.0,RFn,3.0,3.0,Y,1,1,0,0,0,0,No Fence,No Shed,8,2007,WD,Normal,12.63460628389302,3380,3.0,1272
8,60,RL,80.0,10382,Pave,No Alley,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4.0,3.0,2.0,ALQ,GasA,5,Y,SBrkr,2090,3,3,7,Typ,2,3.0,Attchd,1973.0,RFn,3.0,3.0,Y,1,1,1,0,0,0,No Fence,Shed,11,2009,WD,Normal,12.206077645517675,3197,3.5,968
9,50,RM,51.0,6120,Pave,No Alley,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,3,BrkTil,3.0,3.0,1.0,Unf,GasA,4,Y,FuseF,1774,2,3,8,Min1,2,3.0,Detchd,1931.0,Unf,2.0,3.0,Y,1,0,1,0,0,0,No Fence,No Shed,4,2008,WD,Abnorml,11.774527900858464,2726,2.0,936
10,190,RL,50.0,7420,Pave,No Alley,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,1.0,GLQ,GasA,5,Y,SBrkr,1077,2,3,5,Typ,2,3.0,Attchd,1939.0,RFn,4.0,3.0,Y,0,1,0,0,0,0,No Fence,No Shed,1,2008,WD,Normal,11.678448377988165,2068,2.0,205
11,20,RL,70.0,11200,Pave,No Alley,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,1.0,Rec,GasA,5,Y,SBrkr,1040,3,3,5,Typ,0,3.4610389610389616,Detchd,1965.0,Unf,3.0,3.0,Y,0,0,0,0,0,0,No Fence,No Shed,2,2008,WD,Normal,11.771443882099636,2080,2.0,384
12,60,RL,85.0,11924,Pave,No Alley,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5.0,3.0,1.0,GLQ,GasA,5,Y,SBrkr,2324,4,5,11,Typ,2,4.0,BuiltIn,2005.0,Fin,3.0,3.0,Y,1,1,0,0,0,0,No Fence,No Shed,7,2006,New,Partial,12.75130259456002,3499,4.0,2208
13,20,RL,71.0,12968,Pave,No Alley,IR2,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3.0,3.0,1.0,ALQ,GasA,3,Y,SBrkr,912,2,3,4,Typ,0,3.4610389610389616,Detchd,1962.0,Unf,3.0,3.0,Y,1,0,0,0,1,0,No Fence,No Shed,9,2008,WD,Normal,11.87757552297847,1824,2.0,352
14,20,RL,91.0,10652,Pave,No Alley,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4.0,3.0,3.0,Unf,GasA,5,Y,SBrkr,1494,3,4,7,Typ,1,4.0,Attchd,2006.0,RFn,3.0,3.0,Y,1,1,0,0,0,0,No Fence,No Shed,8,2007,New,Partial,12.540761149388421,2988,2.0,2520
15,20,RL,73.0,10920,Pave,No Alley,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3.0,3.0,1.0,BLQ,GasA,3,Y,SBrkr,1253,2,3,5,Typ,1,2.0,Attchd,1960.0,RFn,3.0,3.0,Y,0,1,1,0,0,0,GdWo,No Shed,5,2008,WD,Normal,11.964007453736913,2506,2.5,352
