Id,GrLivArea,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond,YrSold,SalePrice,RoofStyle__1,RoofStyle__2,RoofStyle__3,RoofStyle__4,GarageFinish__1,GarageFinish__2,GarageFinish__3,SaleType__1,SaleType__2,SaleType__3,SaleType__4,SaleType__5,SaleType__6,SaleType__7,BldgType__1,BldgType__2,BldgType__3,MasVnrType__1,MasVnrType__2,MasVnrType__3,MasVnrType__4,MoSold__1,MoSold__2,MoSold__3,MoSold__4,MoSold__5,MoSold__6,MoSold__7,MoSold__8,MoSold__9,MoSold__10,MoSold__11,GarageType__1,GarageType__2,GarageType__3,GarageType__4,GarageType__5,GarageType__6,LotConfig__1,LotConfig__2,LotConfig__3,LotConfig__4,Exterior2nd__1,Exterior2nd__2,Exterior2nd__3,Exterior2nd__4,Exterior2nd__5,Exterior2nd__6,Exterior2nd__7,Exterior2nd__8,Exterior2nd__9,Exterior2nd__10,Exterior2nd__11,Exterior2nd__12,Exterior2nd__13,Exterior2nd__14,Fence__1,Fence__2,Fence__3,LotShape__1,LotShape__2,LotShape__3,SaleCondition__1,SaleCondition__2,SaleCondition__3,SaleCondition__4,Foundation__1,Foundation__2,Foundation__3,Foundation__4,Foundation__5,HouseStyle__1,HouseStyle__2,HouseStyle__3,HouseStyle__4,HouseStyle__5,HouseStyle__6,Neighborhood__1,Neighborhood__2,Neighborhood__3,Neighborhood__4,Neighborhood__5,Neighborhood__6,Neighborhood__7,Neighborhood__8,Neighborhood__9,Neighborhood__10,Neighborhood__11,Neighborhood__13,Neighborhood__14,Neighborhood__15,Neighborhood__16,Neighborhood__18,Neighborhood__20,Neighborhood__21,Neighborhood__22,Neighborhood__23,BsmtFinType1__1,BsmtFinType1__2,BsmtFinType1__3,BsmtFinType1__4,BsmtFinType1__5,BsmtFinType1__6,Exterior1st__1,Exterior1st__2,Exterior1st__3,Exterior1st__4,Exterior1st__5,Exterior1st__6,Exterior1st__7,Exterior1st__8,Exterior1st__9,Exterior1st__10,Exterior1st__11,Exterior1st__12,Electrical__1,Electrical__2,Electrical__3,Condition1__1,Condition1__2,Condition1__3,Condition1__4,Condition1__5,Condition1__6,Condition1__7,Condition1__8,MSZoning__1,MSZoning__2,MSZoning__3,MSZoning__4,MSSubClass__1,MSSubClass__2,MSSubClass__3,MSSubClass__4,MSSubClass__5,MSSubClass__6,MSSubClass__7,MSSubClass__8,MSSubClass__9,MSSubClass__10,MSSubClass__11,MSSubClass__12,MSSubClass__13,MSSubClass__14
1,0.8811792773227245,-0.05238865066280903,-0.16984555046091376,0.9254106076537328,-0.5513116922112486,1.1232953558411631,0.9371789210938148,0.9136042039141178,1.3502273028219047,-0.22456278586320144,0.7166738578365618,0.13485938353624233,-0.5329522606623641,-0.3337984724690368,0.9430332582401921,-0.7362966083162927,1.4161116049869416,1.1890266959052078,-0.25135265844614885,0.9913025177738604,1.2890161435693042,0.29497702668652337,0.9486448560751894,1.358120392491748,-0.8511082254158157,-0.8763701364780554,1.0832071591199228,0.5086231092837995,0.5963282101488926,0.2863951956610853,0.2836329944327664,0.12018809349574755,12.247699116372562,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.30844520209587395,0.8470773487057172,0.13334971550492036,0.10827842138971756,2.1569512702011537,0.21398741880551933,-0.3530201853094142,-0.5768168592750915,-0.626310254923413,-0.22456278586320144,0.7166738578365618,0.13485938353624233,2.502377411391256,0.8788587513883483,0.9430332582401921,0.6919682517558424,-0.8000515298126518,-0.7818702147698637,3.7669826048705732,0.9913025177738604,-0.7240360600768456,0.29497702668652337,-0.7002871898924146,-0.12579712268583607,0.811426330661702,0.8272934088352843,-0.04355088275448134,0.5086231092837995,0.12961265431511687,0.2863951956610853,0.2836329944327664,-0.6364364329148839,12.109016442313738,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,1.0829905729383795,0.1275045492108962,0.5683690101515521,0.9254106076537328,-0.5513116922112486,1.0559392123570412,0.8893937690048063,0.6550617745853774,1.3502273028219047,-0.22456278586320144,0.7166738578365618,0.13485938353624233,0.4788242966888426,-0.1426406834865919,0.9430332582401921,-0.5111514086990103,1.4472520705813152,1.1890266959052078,-0.25135265844614885,0.9913025177738604,1.2890161435693042,0.29497702668652337,0.9486448560751894,-0.12579712268583607,0.811426330661702,0.8272934088352843,0.9997436004625596,0.5086231092837995,0.9145433618537396,0.2863951956610853,0.2836329944327664,0.12018809349574755,12.317171167298682,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0.8997671598136402,-0.3522106504523178,0.1201673126368406,0.9254106076537328,-0.5513116922112486,-1.8403749574601944,-0.6397310978434649,-0.5768168592750915,-0.626310254923413,-0.22456278586320144,-0.477782571891041,1.9158827639333555,-0.5329522606623641,-0.632482517754107,-0.09387661394246234,-0.3669177651941888,1.16179780263289,1.1890266959052078,-0.25135265844614885,-0.9235346191025152,-0.7240360600768456,0.29497702668652337,0.9486448560751894,0.6161616349029561,0.811426330661702,1.3951812572730644,0.8745482624765146,1.9491291180945602,1.094865281153153,0.2863951956610853,0.2836329944327664,-1.3930609593255154,11.849404844423075,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2.1770202281179842,1.0869349485373243,1.3619496628099526,1.7425427939177485,-0.5513116922112486,1.0222611406149804,0.7938234648267893,2.0846493249913536,1.3502273028219047,-0.22456278586320144,0.7166738578365618,0.13485938353624233,1.4906008540400495,0.5293984184048162,0.9430332582401921,0.280374683705498,1.9325243260936384,1.1890266959052078,-0.25135265844614885,0.9913025177738604,1.2890161435693042,1.6372882155409283,0.9486448560751894,2.10007915008054,0.811426330661702,0.8272934088352843,0.9580118211338778,1.9491291180945602,2.1237609383321585,0.2863951956610853,0.2836329944327664,0.12018809349574755,12.429220196836386,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,-0.042904023654222544,1.1468993484952257,1.3237206944925213,-0.7088537648742979,-0.5513116922112486,0.7865146384205542,0.5548977043817469,-0.5768168592750915,-0.626310254923413,-0.22456278586320144,0.7166738578365618,0.13485938353624233,-0.5329522606623641,-0.513008899640079,0.9430332582401921,-0.947370232957495,0.6687404307219733,1.1890266959052078,-0.25135265844614885,-0.9235346191025152,1.2890161435693042,-2.389645351022286,-0.7002871898924146,-0.8677558802746281,-0.8511082254158157,-0.8763701364780554,0.6658893658331064,0.5086231092837995,0.2356843715500659,0.2863951956610853,0.2836329944327664,0.8768126199063789,11.870606902224589,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,0.8386926887720603,0.5472553489162084,0.2609553752679323,1.7425427939177485,-0.5513116922112486,1.1569734275832235,1.0327492252718318,0.8375623129350764,1.3502273028219047,-0.22456278586320144,1.9111302875641647,0.13485938353624233,1.4906008540400495,2.145279103397046,0.9430332582401921,2.211698349172498,-0.8000515298126518,1.1890266959052078,-0.25135265844614885,0.9913025177738604,-0.7240360600768456,0.29497702668652337,0.9486448560751894,0.6161616349029561,0.811426330661702,1.3951812572730644,1.1249389384486044,0.5086231092837995,1.0630437659826684,0.2863951956610853,0.2836329944327664,-0.6364364329148839,12.63460628389302,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.890235755401,0.8470773487057172,0.3395224963616876,0.9254106076537328,0.35144262859288555,0.11295320357933668,-0.4963756415764396,1.2481885242218993,-0.626310254923413,-0.22456278586320144,0.7166738578365618,0.13485938353624233,0.4788242966888426,0.4158984811964895,0.9430332582401921,0.1466947214327366,1.7508716101264583,1.1890266959052078,-0.25135265844614885,0.9913025177738604,1.2890161435693042,0.29497702668652337,-0.7002871898924146,0.6161616349029561,2.47396088673922,0.8272934088352843,-0.16874622074052625,0.5086231092837995,0.2568987149970557,0.2863951956610853,0.2836329944327664,0.8768126199063789,12.206077645517675,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,1.0511256315253814,-0.8918902500734335,-0.7841455241134299,0.9254106076537328,-0.5513116922112486,-1.3015258095872202,-1.595434139623635,-0.5768168592750915,-0.626310254923413,-0.22456278586320144,-0.477782571891041,0.13485938353624233,-0.5329522606623641,-0.047061788995369405,-0.09387661394246234,-0.15232624680896656,1.1514176474347653,-0.7818702147698637,-0.25135265844614885,0.9913025177738604,-0.7240360600768456,-1.047334162167881,-0.7002871898924146,1.358120392491748,2.47396088673922,0.8272934088352843,-1.9214809525451548,0.5086231092837995,0.17204134120909648,-1.0366852709861334,0.2836329944327664,0.12018809349574755,11.774527900858464,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,-0.8979466182363403,0.2474333491266997,0.5551866072834721,-0.7088537648742979,-0.5513116922112486,-0.1564713703571503,-0.8786568582885075,-0.5768168592750915,-0.626310254923413,-0.22456278586320144,-0.477782571891041,0.13485938353624233,-0.5329522606623641,0.2157801708554924,0.9430332582401921,-0.08900415941660589,-0.8000515298126518,1.1890266959052078,-0.25135265844614885,-0.9235346191025152,-0.7240360600768456,0.29497702668652337,-0.7002871898924146,-0.8677558802746281,-0.8511082254158157,-0.8763701364780554,-0.5026004553699793,-0.931882899526961,-0.27345987117768944,0.2863951956610853,0.2836329944327664,0.12018809349574755,11.771443882099636,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
