Id,MasVnrType__Stone,LotShape__Reg,Condition2__Norm,SaleCondition__AdjLand,BsmtCond,Neighborhood__Crawfor,Exterior2nd__Plywood,LandSlope__Mod,HeatingQC,RoofStyle__Gable,MSSubClass__190,BsmtFinType1__Unf,SaleType__New,Neighborhood__SawyerW,GarageFinish__No Garage,Exterior2nd__HdBoard,SaleCondition__Partial,Condition1__PosA,MasVnrType__None,MSSubClass__70,MoSold__8,Neighborhood__SWISU,Exterior2nd__MetalSd,Exterior1st__BrkFace,SaleType__WD,OverallCond,RoofStyle__Mansard,YrSold,EnclosedPorch__1,Exterior1st__AsphShn,YearRemodAdd,Exterior2nd__CmentBd,Condition1__RRNn,ExterQual,LandSlope__Sev,Exterior2nd__Stone,BsmtFinType1__No Basement,Exterior2nd__ImStucc,MoSold__10,Neighborhood__IDOTRR,MSZoning__RL,WoodDeckSF__1,OverallQual,Alley__No Alley,GarageType__CarPort,MasVnrType__No Masonry Veneer,Functional__Typ,GarageFinish__Unf,Exterior2nd__Wd Shng,Exterior2nd__Stucco,Fireplaces,Condition1__PosN,Foundation__PConc,MSSubClass__85,MSSubClass__160,HouseStyle__2Story,HouseStyle__SLvl,PavedDrive__P,Neighborhood__MeadowV,Neighborhood__Blueste,BldgType__Duplex,Neighborhood__StoneBr,LotFrontage,Exterior2nd__Brk Cmn,LotConfig__FR3,Exterior1st__WdShing,Fence__GdWo,GarageCond,Exterior1st__Plywood,MSSubClass__30,MoSold__3,Exterior2nd__VinylSd,OpenPorchSF__1,MoSold__7,Exterior1st__CemntBd,Neighborhood__Somerst,Heating__GasW,Street__Pave,Neighborhood__ClearCr,Condition1__RRNe,LandContour__Low,Foundation__Slab,FireplaceQu,Neighborhood__NAmes,Foundation__Stone,SaleCondition__Alloca,MoSold__4,RoofStyle__Hip,Fence__MnPrv,Condition1__Feedr,SaleType__ConLI,Foundation__Wood,MSSubClass__80,MoSold__11,Neighborhood__OldTown,Exterior1st__HdBoard,Fence__No Fence,MSSubClass__60,RoofStyle__Shed,RoofMatl__WdShngl,Neighborhood__NridgHt,KitchenQual,GarageType__BuiltIn,Neighborhood__Edwards,HouseStyle__2.5Unf,BedroomAbvGr,Exterior2nd__AsphShn,Alley__Pave,LotArea,CentralAir__Y,YearBuilt,Functional__Min2,TotalSF,BldgType__Twnhs,LotConfig__FR2,BsmtQual,Functional__Min1,LotShape__IR2,MiscFeature__Shed,MSSubClass__90,PoolArea__1,LotConfig__Inside,GarageType__No Garage,MSSubClass__50,Neighborhood__NWAmes,LandContour__Lvl,RoofStyle__Gambrel,Condition1__RRAe,Functional__Sev,Exterior1st__VinylSd,SaleCondition__Family,Functional__Maj2,Exterior1st__BrkComm,GarageType__Attchd,Foundation__CBlock,Fence__MnWw,Heating__Grav,SaleType__ConLD,ExterCond,Neighborhood__CollgCr,Condition1__RRAn,BsmtFinType1__GLQ,MSSubClass__180,Neighborhood__Timber,Exterior1st__MetalSd,HouseStyle__1Story,MSSubClass__120,SaleType__Con,Exterior1st__CBlock,MSZoning__RH,MasVnrArea,Neighborhood__Gilbert,Exterior1st__Wd Sdng,BsmtFinType1__Rec,Electrical__FuseF,HouseStyle__SFoyer,GarageFinish__RFn,SaleCondition__Normal,MasVnrType__BrkFace,Condition2__PosA,Electrical__FuseP,GarageType__Detchd,SaleType__Oth,Neighborhood__NPkVill,Exterior1st__Stucco,MoSold__6,TotalBaths,GarageQual,Heating__Wall,Condition2__Feedr,MoSold__5,Neighborhood__Veenker,LotConfig__CulDSac,HouseStyle__1.5Unf,RoofMatl__Tar&Grv,Neighborhood__Mitchel,BsmtFinType1__LwQ,Electrical__SBrkr,Neighborhood__BrDale,MoSold__12,MoSold__9,MoSold__2,LotShape__IR3,Functional__Mod,BldgType__2fmCon,MSSubClass__40,Condition1__Norm,MSSubClass__75,BsmtExposure,Neighborhood__NoRidge,CarCapacity,Neighborhood__Sawyer,Exterior2nd__CBlock,Exterior2nd__BrkFace,MSZoning__RM,SaleType__ConLw,MSSubClass__45,3SsnPorch__1,LandContour__HLS,ScreenPorch__1,MSZoning__FV,Exterior2nd__Wd Sdng,Neighborhood__BrkSide,BsmtFinType1__BLQ,PavedDrive__Y,BldgType__TwnhsE,GarageType__Basment,Condition2__PosN,SaleType__CWD,RoofMatl__WdShake,SalePrice
1,0,1,1,0,-0.009719039964690408,0,0,0,0.8864324854613843,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5072951451971073,0,0.15747704540377266,0,0,0.8977414603063226,0,0,1.0437502187073568,0,0,0,0,0,0,1,0,0.6492047270274413,1,0,0,1,0,0,0,-0.9246099128032205,0,1,0,0,1,0,0,0,0,0,0,-0.20913319374837114,0,0,0,0,0.12758014784646965,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.0010438362450237396,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.7415185647590922,0,0,0,0.1696312403087172,0,0,-0.21563645899639372,1,1.0469140499179093,0,0.030273701856673753,0,0,0.6166689300833411,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.2301713547281521,1,0,1,0,0,0,0,0,0,0,0,0.5338305686557833,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1.5901578110415118,0.15350177661026912,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.648011920493013,0,0.1577623319561977,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.247699116372562
2,0,1,1,0,-0.009719039964690408,0,0,0,0.8864324854613843,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2.187190544046545,0,-0.6027929287641044,0,0,-0.39465167651644956,0,0,-0.6835912329104937,0,0,0,0,0,0,1,1,-0.06194515426933483,1,0,0,1,0,0,0,0.6275849667213581,0,0,0,0,0,0,0,0,0,0,0,0.4981922185503922,0,0,0,0,0.12758014784646965,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.8057828263039906,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.7710975407421286,0,0,0,0.1696312403087172,0,0,-0.06755774495867983,1,0.15539236933668768,0,-0.023502108748436664,0,1,0.6166689300833411,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,-0.2301713547281521,0,0,0,0,0,1,1,0,0,0,0,-0.5671527197050004,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.3508419812948732,0.15350177661026912,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.260555038451979,0,-0.08103220402020755,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.109016442313738
3,0,0,1,0,-0.009719039964690408,0,0,0,0.8864324854613843,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5072951451971073,0,0.15747704540377266,0,0,0.8498750478314052,0,0,1.0437502187073568,0,0,0,0,0,0,1,0,0.6492047270274413,1,0,0,1,0,0,0,0.6275849667213581,0,1,0,0,1,0,0,0,0,0,0,-0.06766811128861845,0,0,0,0,0.12758014784646965,0,0,0,1,1,0,0,0,0,1,0,0,0,0,-0.8057828263039906,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.7415185647590922,0,0,0,0.1696312403087172,0,0,0.14490301866064875,1,0.9808754069118926,0,0.2095264038737084,0,0,0.6166689300833411,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.2301713547281521,1,0,1,0,0,0,0,0,0,0,0,0.34284367169523927,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1.5901578110415118,0.15350177661026912,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.3215103991553177,0,0.3205767883037468,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.317171167298682
4,0,0,1,0,3.4333532520692494,1,0,0,-0.15752435121284694,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,-0.5072951451971073,0,-1.3630629029319814,1,0,-0.6818501513659545,0,0,-0.6835912329104937,0,0,0,0,0,0,1,0,0.6492047270274413,1,0,0,1,1,1,0,0.6275849667213581,0,0,0,0,1,0,0,0,0,0,0,-0.44490833118129236,0,0,0,0,0.12758014784646965,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.0156526664083174,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7415185647590922,0,0,0,0.1696312403087172,0,0,-0.0739959499168413,1,-1.858786242346812,0,-0.08880130734035643,0,0,-0.8366880209714777,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2301713547281521,0,0,0,0,0,0,0,0,0,0,0,-0.5671527197050004,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.2688159335784462,0.15350177661026912,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.648011920493013,0,1.283895655026745,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.849404844423075
5,0,0,1,0,-0.009719039964690408,0,0,0,0.8864324854613843,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5072951451971073,0,0.15747704540377266,0,0,0.7541422228815702,0,0,1.0437502187073568,0,0,0,0,0,0,1,1,1.3603546083242175,1,0,0,1,0,0,0,0.6275849667213581,0,1,0,0,1,0,0,0,0,0,0,0.6868123284967292,0,0,0,0,0.12758014784646965,0,0,0,1,1,0,0,0,0,1,0,0,0,0,-0.8057828263039906,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.7415185647590922,0,0,0,1.3849744755426716,0,0,0.5324829571419694,1,0.9478560854088842,0,1.0251261980512163,0,1,0.6166689300833411,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.2301713547281521,0,0,1,0,0,0,0,0,0,0,0,1.398888866653542,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1.5901578110415118,0.15350177661026912,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1.2910327188036486,1,2.0735457683123606,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.429220196836386
6,0,0,1,0,-0.009719039964690408,0,0,0,0.8864324854613843,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.5072951451971073,0,0.9177470195716496,0,0,0.5148101605069827,0,0,-0.6835912329104937,0,0,0,0,1,0,1,1,-0.7730950355661109,1,0,0,1,1,0,0,-0.9246099128032205,0,0,0,0,0,0,0,0,0,0,0,0.7339673559833133,0,0,0,0,0.12758014784646965,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.0010438362450237396,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.7710975407421286,0,0,0,-2.261055230159191,0,0,0.5138121627633012,1,0.716720834887827,0,-0.4921198868786845,0,0,0.6166689300833411,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.2301713547281521,0,0,1,0,0,0,0,0,0,0,0,-0.5671527197050004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3508419812948732,0.15350177661026912,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.648011920493013,0,-0.02676071857102455,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11.870606902224589
7,1,1,1,0,-0.009719039964690408,0,0,0,0.8864324854613843,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.5072951451971073,0,-0.6027929287641044,0,0,0.9934742852561576,0,0,1.0437502187073568,0,0,0,0,0,0,1,1,1.3603546083242175,1,0,0,1,0,0,0,0.6275849667213581,0,1,0,0,0,0,0,0,0,0,0,0.262417081117471,0,0,0,0,0.12758014784646965,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1.0156526664083174,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7415185647590922,0,0,0,0.1696312403087172,0,0,-0.005235920963676774,1,1.0799333714209176,0,1.0725001264414329,0,0,2.0700258811381596,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.2301713547281521,0,0,1,0,0,0,1,0,0,0,0,0.47765795190268207,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.9704998961681925,0.15350177661026912,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.2910327188036486,0,0.39655686793260314,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.63460628389302
8,1,0,1,0,-0.009719039964690408,0,0,0,0.8864324854613843,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.3908667512174432,0,0.9177470195716496,1,0,-0.5382509139412022,0,0,-0.6835912329104937,0,0,0,0,0,0,1,1,0.6492047270274413,1,0,0,1,0,0,0,2.179779846245937,1,0,0,0,1,0,0,0,0,0,0,0.4981922185503922,0,0,0,0,0.12758014784646965,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-0.8057828263039906,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,-0.7710975407421286,0,0,0,0.1696312403087172,0,0,0.0331357805869656,1,0.0563344048276631,0,0.8381912373763086,0,0,0.6166689300833411,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,-0.2301713547281521,0,0,0,0,0,0,0,0,0,0,0,0.7809900823694286,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1.5901578110415118,0.15350177661026912,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3215103991553177,0,-0.015906421481187937,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.206077645517675
9,0,1,1,0,-0.009719039964690408,0,0,0,-0.15752435121284694,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,-0.5072951451971073,0,0.15747704540377266,1,0,-1.6391784008643044,0,0,-0.6835912329104937,0,0,0,0,0,0,0,1,0.6492047270274413,1,0,0,0,1,1,0,2.179779846245937,0,0,0,0,0,0,0,0,0,0,0,-0.8693035785605501,0,0,0,0,0.12758014784646965,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.8057828263039906,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-0.7710975407421286,0,0,0,-1.0457119949252371,0,0,-0.5156568100467183,1,-1.330477098298681,0,0.2351339327332848,0,0,-0.8366880209714777,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2301713547281521,0,0,0,0,0,0,0,0,0,0,0,-0.5671527197050004,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.2688159335784462,-3.9160124749896883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.648011920493013,0,-0.05932360984053438,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.774527900858464
10,0,1,0,0,-0.009719039964690408,0,0,0,0.8864324854613843,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.3908667512174432,0,0.15747704540377266,0,0,-1.6391784008643044,0,0,-0.6835912329104937,0,0,0,0,0,0,1,0,-0.7730950355661109,1,0,0,1,0,0,0,2.179779846245937,0,0,0,0,0,0,0,0,0,0,0,-0.9164586060471344,0,0,0,0,0.12758014784646965,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-0.8057828263039906,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.7710975407421286,0,0,0,-1.0457119949252371,0,0,-0.34826348113452005,1,-1.0663225262746154,0,-0.6073537667467782,0,0,-0.8366880209714777,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-0.2301713547281521,0,0,1,0,0,1,0,0,0,0,0,-0.5671527197050004,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.2688159335784462,4.223016028210228,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.648011920493013,0,-1.0511350064243543,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11.678448377988165
