Id,MasVnrType__Stone,LotShape__Reg,Condition2__Norm,SaleCondition__AdjLand,BsmtCond,Neighborhood__Crawfor,Exterior2nd__Plywood,LandSlope__Mod,HeatingQC,RoofStyle__Gable,MSSubClass__190,BsmtFinType1__Unf,SaleType__New,Neighborhood__SawyerW,GarageFinish__No Garage,Exterior2nd__HdBoard,SaleCondition__Partial,Condition1__PosA,MasVnrType__None,MSSubClass__70,MoSold__8,Neighborhood__SWISU,Exterior2nd__MetalSd,Exterior1st__BrkFace,SaleType__WD,OverallCond,RoofStyle__Mansard,YrSold,EnclosedPorch__1,Exterior1st__AsphShn,YearRemodAdd,Exterior2nd__CmentBd,Condition1__RRNn,ExterQual,LandSlope__Sev,Exterior2nd__Stone,BsmtFinType1__No Basement,Exterior2nd__ImStucc,MoSold__10,Neighborhood__IDOTRR,MSZoning__RL,WoodDeckSF__1,OverallQual,Alley__No Alley,GarageType__CarPort,MasVnrType__No Masonry Veneer,Functional__Typ,GarageFinish__Unf,Exterior2nd__Wd Shng,Exterior2nd__Stucco,Fireplaces,Condition1__PosN,Foundation__PConc,MSSubClass__85,MSSubClass__160,HouseStyle__2Story,HouseStyle__SLvl,PavedDrive__P,Neighborhood__MeadowV,Neighborhood__Blueste,BldgType__Duplex,Neighborhood__StoneBr,LotFrontage,Exterior2nd__Brk Cmn,LotConfig__FR3,Exterior1st__WdShing,Fence__GdWo,GarageCond,Exterior1st__Plywood,MSSubClass__30,MoSold__3,Exterior2nd__VinylSd,OpenPorchSF__1,MoSold__7,Exterior1st__CemntBd,Neighborhood__Somerst,Heating__GasW,Street__Pave,Neighborhood__ClearCr,Condition1__RRNe,LandContour__Low,Foundation__Slab,FireplaceQu,Neighborhood__NAmes,Foundation__Stone,SaleCondition__Alloca,MoSold__4,RoofStyle__Hip,Fence__MnPrv,Condition1__Feedr,SaleType__ConLI,Foundation__Wood,MSSubClass__80,MoSold__11,Neighborhood__OldTown,Exterior1st__HdBoard,Fence__No Fence,MSSubClass__60,RoofStyle__Shed,RoofMatl__WdShngl,Neighborhood__NridgHt,KitchenQual,GarageType__BuiltIn,Neighborhood__Edwards,HouseStyle__2.5Unf,BedroomAbvGr,Exterior2nd__AsphShn,Alley__Pave,LotArea,CentralAir__Y,YearBuilt,Functional__Min2,TotalSF,BldgType__Twnhs,LotConfig__FR2,BsmtQual,Functional__Min1,LotShape__IR2,MiscFeature__Shed,MSSubClass__90,PoolArea__1,LotConfig__Inside,GarageType__No Garage,MSSubClass__50,Neighborhood__NWAmes,LandContour__Lvl,RoofStyle__Gambrel,Condition1__RRAe,Functional__Sev,Exterior1st__VinylSd,SaleCondition__Family,Functional__Maj2,Exterior1st__BrkComm,GarageType__Attchd,Foundation__CBlock,Fence__MnWw,Heating__Grav,SaleType__ConLD,ExterCond,Neighborhood__CollgCr,Condition1__RRAn,BsmtFinType1__GLQ,MSSubClass__180,Neighborhood__Timber,Exterior1st__MetalSd,HouseStyle__1Story,MSSubClass__120,SaleType__Con,Exterior1st__CBlock,MSZoning__RH,MasVnrArea,Neighborhood__Gilbert,Exterior1st__Wd Sdng,BsmtFinType1__Rec,Electrical__FuseF,HouseStyle__SFoyer,GarageFinish__RFn,SaleCondition__Normal,MasVnrType__BrkFace,Condition2__PosA,Electrical__FuseP,GarageType__Detchd,SaleType__Oth,Neighborhood__NPkVill,Exterior1st__Stucco,MoSold__6,TotalBaths,GarageQual,Heating__Wall,Condition2__Feedr,MoSold__5,Neighborhood__Veenker,LotConfig__CulDSac,HouseStyle__1.5Unf,RoofMatl__Tar&Grv,Neighborhood__Mitchel,BsmtFinType1__LwQ,Electrical__SBrkr,Neighborhood__BrDale,MoSold__12,MoSold__9,MoSold__2,LotShape__IR3,Functional__Mod,BldgType__2fmCon,MSSubClass__40,Condition1__Norm,MSSubClass__75,BsmtExposure,Neighborhood__NoRidge,CarCapacity,Neighborhood__Sawyer,Exterior2nd__CBlock,Exterior2nd__BrkFace,MSZoning__RM,SaleType__ConLw,MSSubClass__45,3SsnPorch__1,LandContour__HLS,ScreenPorch__1,MSZoning__FV,Exterior2nd__Wd Sdng,Neighborhood__BrkSide,BsmtFinType1__BLQ,PavedDrive__Y,BldgType__TwnhsE,GarageType__Basment,Condition2__PosN,SaleType__CWD,RoofMatl__WdShake,SalePrice
1,0,1,1,0,-0.03962134118983347,0,0,0,0.8928267578905983,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5172362947592913,0,0.13842358460838278,0,0,0.8804240832894336,0,0,1.0604451297744795,0,0,0,0,0,0,1,0,0.6577586652168219,1,0,0,1,0,0,0,-0.9519510864697429,0,1,0,0,1,0,0,0,0,0,0,-0.23222286661338556,0,0,0,0,0.11230213656169061,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.0020560398158211294,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.7415209326651707,0,0,0,0.1631729980640734,0,0,-0.2021977142715057,1,1.0523244071310986,0,0.011850298700036864,0,0,0.6303545073483494,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.2383712891212514,1,0,1,0,0,0,0,0,0,0,0,0.5234237513775948,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1.6540966751666166,0.1021927768655136,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.6501424543115158,0,0.1721829048265968,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.247699116372562
2,0,1,1,0,-0.03962134118983347,0,0,0,0.8928267578905983,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2.177447667568316,0,-0.6141255302215196,0,0,-0.42769250894242883,0,0,-0.6893493822090048,0,0,0,0,0,0,1,1,-0.06936908533015025,1,0,0,1,0,0,0,0.6082207166645823,0,0,0,0,0,0,0,0,0,0,0,0.46650787611884287,0,0,0,0,0.11230213656169061,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.8521252888073861,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.769522422430149,0,0,0,0.1631729980640734,0,0,-0.08479428054317273,1,0.1579998407734264,0,-0.04241243541026376,0,1,0.6303545073483494,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,-0.2383712891212514,0,0,0,0,0,1,1,0,0,0,0,-0.5709990188023204,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.37421411769568697,0.1021927768655136,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.2656907361082994,0,-0.07669655185232346,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.109016442313738
3,0,0,1,0,-0.03962134118983347,0,0,0,0.8928267578905983,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5172362947592913,0,0.13842358460838278,0,0,0.8319753206141793,0,0,1.0604451297744795,0,0,0,0,0,0,1,0,0.6577586652168219,1,0,0,1,0,0,0,0.6082207166645823,0,1,0,0,1,0,0,0,0,0,0,-0.0924767180669399,0,0,0,0,0.11230213656169061,0,0,0,1,1,0,0,0,0,1,0,0,0,0,-0.8521252888073861,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.7415209326651707,0,0,0,0.1631729980640734,0,0,0.08365412437139189,1,0.986078142956456,0,0.19272607906770559,0,0,0.6303545073483494,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.2383712891212514,1,0,1,0,0,0,0,0,0,0,0,0.333574903489242,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1.6540966751666166,0.1021927768655136,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.32180194249508953,0,0.34187344347131515,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.317171167298682
4,0,0,1,0,3.4769609586233075,1,0,0,-0.14951986570443504,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,-0.5172362947592913,0,-1.366674645051422,1,0,-0.7183850849939538,0,0,-0.6893493822090048,0,0,0,0,0,0,1,0,0.6577586652168219,1,0,0,1,1,1,0,0.6082207166645823,0,0,0,0,1,0,0,0,0,0,0,-0.465133114190795,0,0,0,0,0.11230213656169061,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.0006060436992865,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7415209326651707,0,0,0,0.1631729980640734,0,0,-0.08989877766179588,1,-1.8625112165531656,0,-0.10830289825848595,0,0,-0.861690407387501,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2383712891212514,0,0,0,0,0,0,0,0,0,0,0,-0.5709990188023204,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.2657271610397778,0.1021927768655136,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.6501424543115158,0,1.345875797119232,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.849404844423075
5,0,0,1,0,-0.03962134118983347,0,0,0,0.8928267578905983,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5172362947592913,0,0.13842358460838278,0,0,0.735077795263671,0,0,1.0604451297744795,0,0,0,0,0,0,1,1,1.3848864157637937,1,0,0,1,0,0,0,0.6082207166645823,0,1,0,0,1,0,0,0,0,0,0,0.6528360741807704,0,0,0,0,0.11230213656169061,0,0,0,1,1,0,0,0,0,1,0,0,0,0,-0.8521252888073861,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.7415209326651707,0,0,0,1.388652679400956,0,0,0.3909448509125068,1,0.9529550108691348,0,1.0157108797405985,0,1,0.6303545073483494,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.2383712891212514,0,0,1,0,0,0,0,0,0,0,0,1.3833273565189563,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1.6540966751666166,0.1021927768655136,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1.293746339301695,1,2.168874909546116,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.429220196836386
6,0,0,1,0,-0.03962134118983347,0,0,0,0.8928267578905983,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.5172362947592913,0,0.8909726994382853,0,0,0.4928339818874002,0,0,-0.6893493822090048,0,0,0,0,1,0,1,1,-0.7964968358771225,1,0,0,1,1,0,0,-0.9519510864697429,0,0,0,0,0,0,0,0,0,0,0,0.6994181236962523,0,0,0,0,0.11230213656169061,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.0020560398158211294,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.769522422430149,0,0,0,-2.2877863646096914,0,0,0.3761418092684996,1,0.7210930862578865,0,-0.5152734040857405,0,0,0.6303545073483494,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.2383712891212514,0,0,1,0,0,0,0,0,0,0,0,-0.5709990188023204,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.37421411769568697,0.1021927768655136,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.6501424543115158,0,-0.020133038970750673,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11.870606902224589
7,1,1,1,0,-0.03962134118983347,0,0,0,0.8928267578905983,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.5172362947592913,0,-0.6141255302215196,0,0,0.977321608639942,0,0,1.0604451297744795,0,0,0,0,0,0,1,1,1.3848864157637937,1,0,0,1,0,0,0,0.6082207166645823,0,1,0,0,0,0,0,0,0,0,0,0.23359762854143323,0,0,0,0,0.11230213656169061,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1.0006060436992865,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7415209326651707,0,0,0,0.1631729980640734,0,0,-0.03538274843490044,1,1.0854475392184197,0,1.0635137645520536,0,0,2.1223994220842006,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.2383712891212514,0,0,1,0,0,0,1,0,0,0,0,0.4675858549398439,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1.0141553964311518,0.1021927768655136,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.293746339301695,0,0.4210623615055171,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.63460628389302
8,1,0,1,0,-0.03962134118983347,0,0,0,0.8928267578905983,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.38099169268324434,0,0.8909726994382853,1,0,-0.5730387969681914,0,0,-0.6893493822090048,0,0,0,0,0,0,1,1,0.6577586652168219,1,0,0,1,0,0,0,2.168392519798908,1,0,0,0,1,0,0,0,0,0,0,0.46650787611884287,0,0,0,0,0.11230213656169061,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-0.8521252888073861,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,-0.769522422430149,0,0,0,0.1631729980640734,0,0,-0.004959945607906343,1,0.05863044451146283,0,0.8270832802143152,0,0,0.6303545073483494,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,-0.2383712891212514,0,0,0,0,0,0,0,0,0,0,0,0.7691104957036982,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1.6540966751666166,0.1021927768655136,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.32180194249508953,0,-0.008820336394436117,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.206077645517675
9,0,1,1,0,-0.03962134118983347,0,0,0,-0.14951986570443504,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,-0.5172362947592913,0,0.13842358460838278,1,0,-1.6873603384990372,0,0,-0.6893493822090048,0,0,0,0,0,0,0,1,0.6577586652168219,1,0,0,0,1,1,0,2.168392519798908,0,0,0,0,0,0,0,0,0,0,0,-0.8843715598301322,0,0,0,0,0.11230213656169061,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.8521252888073861,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-0.769522422430149,0,0,0,-1.062306683272809,0,0,-0.4400672799993453,1,-1.332541103156027,0,0.21856547626308678,0,0,-0.861690407387501,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2383712891212514,0,0,0,0,0,0,0,0,0,0,0,-0.5709990188023204,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.2657271610397778,-4.034109275038615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6501424543115158,0,-0.054071146699694345,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.774527900858464
10,0,1,0,0,-0.03962134118983347,0,0,0,0.8928267578905983,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.38099169268324434,0,0.13842358460838278,0,0,-1.6873603384990372,0,0,-0.6893493822090048,0,0,0,0,0,0,1,0,-0.7964968358771225,1,0,0,1,0,0,0,2.168392519798908,0,0,0,0,0,0,0,0,0,0,0,-0.930953609345614,0,0,0,0,0.11230213656169061,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-0.8521252888073861,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.769522422430149,0,0,0,-1.062306683272809,0,0,-0.307350354915143,1,-1.0675560464574576,0,-0.6315506914649561,0,0,-0.861690407387501,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-0.2383712891212514,0,0,1,0,0,1,0,0,0,0,0,-0.5709990188023204,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.2657271610397778,4.238494828769644,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.6501424543115158,0,-1.0877693446104366,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11.678448377988165
