Id,MSSubClass__80,MSZoning__FV,MoSold__3,MSSubClass__60,Condition2__PosN,MasVnrType__None,YearRemodAdd,Neighborhood__CollgCr,OverallQual,SaleType__CWD,SaleCondition__Normal,Neighborhood__OldTown,GarageType__Attchd,Foundation__Wood,Exterior1st__CemntBd,Neighborhood__StoneBr,RoofStyle__Shed,Neighborhood__Sawyer,MSZoning__RM,Electrical__FuseP,MSSubClass__180,ExterCond,SaleCondition__AdjLand,HeatingQC,MSSubClass__85,Neighborhood__BrkSide,Condition2__Norm,MSSubClass__190,MoSold__4,SaleType__Con,LandSlope__Sev,YrSold,SaleCondition__Alloca,MasVnrArea,RoofStyle__Gambrel,MoSold__12,Condition1__RRNn,CentralAir__Y,Exterior2nd__Stucco,MoSold__9,Condition1__PosN,Exterior2nd__Plywood,Alley__No Alley,Exterior1st__AsphShn,Neighborhood__MeadowV,LotConfig__FR2,Foundation__CBlock,Exterior1st__MetalSd,Functional__Mod,MSSubClass__90,Heating__GasW,LandContour__HLS,GarageType__No Garage,Exterior1st__Stucco,BsmtFinType1__Unf,GarageType__BuiltIn,Fence__GdWo,Condition2__PosA,RoofStyle__Hip,MasVnrType__BrkFace,Neighborhood__Mitchel,3SsnPorch__1,MoSold__10,GarageCond,BldgType__2fmCon,Neighborhood__SWISU,BldgType__TwnhsE,OverallCond,BsmtCond,LandContour__Low,GarageFinish__Unf,Fence__No Fence,MSSubClass__75,RoofMatl__WdShngl,SaleType__New,Exterior2nd__Wd Shng,ExterQual,Exterior1st__CBlock,MoSold__2,RoofMatl__Tar&Grv,Fence__MnPrv,MSSubClass__70,Condition1__RRAe,Exterior2nd__Brk Cmn,RoofStyle__Gable,BldgType__Duplex,HouseStyle__1.5Unf,BsmtFinType1__BLQ,Neighborhood__NAmes,LotConfig__Inside,SaleType__WD,Exterior2nd__ImStucc,Exterior2nd__CmentBd,Functional__Min2,MSZoning__RH,OpenPorchSF__1,HouseStyle__SLvl,PavedDrive__P,YearBuilt,Neighborhood__Crawfor,Foundation__PConc,HouseStyle__2Story,Condition1__Norm,Exterior1st__Plywood,SaleType__ConLD,Condition1__PosA,Condition1__RRAn,Fireplaces,Neighborhood__NWAmes,Exterior2nd__AsphShn,RoofStyle__Mansard,MoSold__6,Neighborhood__SawyerW,LandContour__Lvl,BsmtQual,PavedDrive__Y,SaleType__ConLI,Exterior2nd__VinylSd,EnclosedPorch__1,WoodDeckSF__1,MiscFeature__Shed,Neighborhood__Timber,LotFrontage,Condition1__RRNe,Neighborhood__IDOTRR,Street__Pave,Neighborhood__NPkVill,ScreenPorch__1,GarageFinish__RFn,HouseStyle__1Story,CarCapacity,MasVnrType__Stone,Exterior2nd__Wd Sdng,Exterior1st__WdShing,SaleType__ConLw,LotConfig__CulDSac,Functional__Sev,Functional__Maj2,Exterior2nd__CBlock,SaleType__Oth,LotConfig__FR3,Exterior1st__BrkFace,MSSubClass__40,BsmtFinType1__No Basement,TotalBaths,SaleCondition__Family,PoolArea__1,MoSold__11,Neighborhood__Blueste,LotArea,Neighborhood__BrDale,Exterior1st__Wd Sdng,Neighborhood__Veenker,Condition2__Feedr,MSSubClass__160,SaleCondition__Partial,GarageType__Detchd,GarageYrBlt,Exterior2nd__HdBoard,LandSlope__Mod,GarageType__Basment,Neighborhood__Gilbert,MoSold__8,MSZoning__RL,MasVnrType__No Masonry Veneer,Neighborhood__ClearCr,MSSubClass__30,Electrical__SBrkr,Exterior2nd__BrkFace,LotShape__IR3,BsmtFinType1__Rec,Electrical__FuseF,Fence__MnWw,LotShape__Reg,MSSubClass__45,Foundation__Slab,MoSold__7,GarageQual,Exterior2nd__MetalSd,BedroomAbvGr,Neighborhood__Edwards,HouseStyle__SFoyer,HouseStyle__2.5Unf,Exterior2nd__Stone,Foundation__Stone,BsmtFinType1__LwQ,MSSubClass__50,Exterior1st__BrkComm,Exterior1st__VinylSd,Functional__Min1,BldgType__Twnhs,FireplaceQu,Neighborhood__Somerst,Functional__Typ,BsmtFinType1__GLQ,LotShape__IR2,MoSold__5,GarageType__CarPort,Neighborhood__NoRidge,Heating__Wall,Neighborhood__NridgHt,Alley__Pave,TotalSF,KitchenQual,Condition1__Feedr,Heating__Grav,GarageFinish__No Garage,BsmtExposure,MSSubClass__120,RoofMatl__WdShake,Exterior1st__HdBoard,SalePrice
1,0,0,0,1,0,0,0.8804240832894347,1,0.6577586652168215,0,1,0,1,0,0,0,0,0,0,0,0,-0.23837128912125138,0,0.8928267578905917,0,0,1,0,0,0,0,0.1384235846083828,0,0.5234237513775963,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.11230213656169065,0,0,0,-0.5172362947592908,-0.03962134118983349,0,0,1,0,0,0,0,1.060445129774472,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1.0523244071310982,0,1,1,1,0,0,0,0,-0.9519510864697406,0,0,0,0,0,1,0.6303545073483501,1,0,1,0,0,0,0,-0.23222286661338548,0,0,1,0,0,1,0,0.1721829048265968,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6540966751666046,0,0,0,0,-0.2021977142715057,0,0,0,0,0,0,0,1.0224544909338849,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.10219277686551392,0,0.16317299806407407,0,0,0,0,0,0,0,0,1,0,0,0.0020560398158211307,0,1,1,0,0,0,0,0,0,0,0.011850298700036883,0.7415209326651705,0,0,0,-0.6501424543115165,0,0,0,12.247699116372562
2,0,0,0,0,0,1,-0.42769250894242944,0,-0.06936908533015027,0,1,0,1,0,0,0,0,0,0,0,0,-0.23837128912125138,0,0.8928267578905917,0,0,1,0,0,0,0,-0.6141255302215197,0,-0.5709990188023198,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11230213656169065,0,0,0,2.177447667568314,-0.03962134118983349,0,0,1,0,0,0,0,-0.6893493822089999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.15799984077342633,0,0,0,0,0,0,0,0,0.6082207166645813,0,0,0,0,0,1,0.6303545073483501,1,0,0,0,1,0,0,0.4665078761188429,0,0,1,0,0,1,1,-0.07669655185232342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3742141176956844,0,0,0,0,-0.08479428054317273,0,0,1,0,0,0,0,-0.10355923774964618,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.10219277686551392,1,0.16317299806407407,0,0,0,0,0,0,0,0,0,0,0,-0.8521252888073871,0,1,0,0,1,0,0,0,0,0,-0.04241243541026374,-0.7695224224301489,1,0,0,2.265690736108301,0,0,0,12.109016442313738
3,0,0,0,1,0,0,0.8319753206141803,1,0.6577586652168215,0,1,0,1,0,0,0,0,0,0,0,0,-0.23837128912125138,0,0.8928267578905917,0,0,1,0,0,0,0,0.1384235846083828,0,0.3335749034892434,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.11230213656169065,0,0,0,-0.5172362947592908,-0.03962134118983349,0,0,1,0,0,0,0,1.060445129774472,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0.9860781429564555,0,1,1,1,0,0,0,0,0.6082207166645813,0,0,0,0,0,1,0.6303545073483501,1,0,1,0,0,0,0,-0.09247671806693986,0,0,1,0,0,1,0,0.3418734434713151,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6540966751666046,0,0,0,0,0.08365412437139189,0,0,0,0,0,0,0,0.9390460665869566,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.10219277686551392,0,0.16317299806407407,0,0,0,0,0,0,0,0,1,0,0,-0.8521252888073871,0,1,1,0,0,0,0,0,0,0,0.1927260790677056,0.7415209326651705,0,0,0,0.32180194249508953,0,0,0,12.317171167298682
4,0,0,0,0,0,1,-0.7183850849939549,0,0.6577586652168215,0,0,0,0,0,0,0,0,0,0,0,0,-0.23837128912125138,0,-0.14951986570443396,0,0,1,0,0,0,0,-1.3666746450514222,0,-0.5709990188023198,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11230213656169065,0,0,0,-0.5172362947592908,3.476960958623309,0,1,1,0,0,0,1,-0.6893493822089999,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-1.8625112165531652,1,0,1,1,0,0,0,0,0.6082207166645813,0,0,0,0,0,1,-0.8616904073875004,1,0,0,1,0,0,0,-0.46513311419079495,0,0,1,0,0,0,0,1.3458757971192319,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.26572716103977573,0,0,0,0,-0.08989877766179588,0,1,0,0,0,0,1,0.8139334300665642,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.10219277686551392,0,0.16317299806407407,0,0,0,0,0,0,0,0,0,0,0,1.0006060436992876,0,1,0,0,0,0,0,0,0,0,-0.10830289825848592,0.7415209326651705,0,0,0,-0.6501424543115165,0,0,0,11.849404844423075
5,0,0,0,1,0,0,0.7350777952636719,0,1.384886415763793,0,1,0,1,0,0,0,0,0,0,0,0,-0.23837128912125138,0,0.8928267578905917,0,0,1,0,0,0,0,0.1384235846083828,0,1.3833273565189588,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.11230213656169065,0,0,0,-0.5172362947592908,-0.03962134118983349,0,0,1,0,0,0,0,1.060445129774472,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.9529550108691344,0,1,1,1,0,0,0,0,0.6082207166645813,0,0,0,0,0,1,0.6303545073483501,1,0,1,0,1,0,0,0.6528360741807704,0,0,1,0,0,1,0,2.1688749095461155,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6540966751666046,0,0,0,0,0.3909448509125068,0,0,0,0,0,0,0,0.8973418544134923,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.10219277686551392,0,1.3886526794009573,0,0,0,0,0,0,0,0,1,0,0,-0.8521252888073871,0,1,1,0,0,0,1,0,0,0,1.0157108797405985,0.7415209326651705,0,0,0,1.2937463393016957,0,0,0,12.429220196836386
6,0,0,0,0,0,1,0.49283398188740074,0,-0.796496835877122,0,1,0,1,1,0,0,0,0,0,0,0,-0.23837128912125138,0,0.8928267578905917,0,0,1,0,0,0,0,0.8909726994382855,0,-0.5709990188023198,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.11230213656169065,0,0,0,-0.5172362947592908,-0.03962134118983349,0,1,0,0,0,0,0,-0.6893493822089999,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0.7210930862578862,0,0,0,1,0,0,0,0,-0.9519510864697406,0,0,0,0,0,1,0.6303545073483501,1,0,1,0,1,1,0,0.6994181236962523,0,0,1,0,0,0,0,-0.020133038970750645,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3742141176956844,0,0,0,0,0.3761418092684996,0,0,0,0,0,0,0,0.6054123691992437,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.10219277686551392,0,-2.2877863646096923,0,0,0,0,0,0,1,0,1,0,0,0.0020560398158211307,0,1,1,0,0,0,0,0,0,0,-0.5152734040857405,-0.7695224224301489,0,0,0,-0.6501424543115165,0,0,0,11.870606902224589
7,0,0,0,0,0,0,0.9773216086399431,0,1.384886415763793,0,1,0,1,0,0,0,0,0,0,0,0,-0.23837128912125138,0,0.8928267578905917,0,0,1,0,0,0,0,-0.6141255302215197,0,0.4675858549398454,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11230213656169065,0,0,0,-0.5172362947592908,-0.03962134118983349,0,0,1,0,0,0,0,1.060445129774472,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1.0854475392184193,0,1,0,1,0,0,0,0,0.6082207166645813,0,0,0,0,0,1,2.122399422084201,1,0,1,0,1,0,0,0.23359762854143337,0,0,1,0,0,1,1,0.421062361505517,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0141553964311447,0,0,0,0,-0.03538274843490045,0,0,0,0,0,0,0,1.064158703107349,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.10219277686551392,0,0.16317299806407407,0,0,0,0,0,0,0,0,1,0,0,1.0006060436992876,1,1,1,0,0,0,0,0,0,0,1.0635137645520536,0.7415209326651705,0,0,0,1.2937463393016957,0,0,0,12.63460628389302
8,0,0,0,1,0,0,-0.5730387969681923,0,0.6577586652168215,0,1,0,1,0,0,0,0,0,0,0,0,-0.23837128912125138,0,0.8928267578905917,0,0,1,0,0,0,0,0.8909726994382855,0,0.7691104957036999,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11230213656169065,0,0,0,0.380991692683244,-0.03962134118983349,0,0,1,0,0,0,0,-0.6893493822089999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0586304445114628,0,0,1,0,0,0,0,0,2.168392519798903,1,0,0,0,0,1,0.6303545073483501,1,0,0,1,1,1,0,0.4665078761188429,0,0,1,0,0,1,0,-0.008820336394436091,1,0,0,0,0,0,0,0,0,0,0,0,0,1.6540966751666046,0,0,1,0,-0.004959945607906349,0,0,0,0,0,0,0,-0.2286718742700385,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.10219277686551392,0,0.16317299806407407,0,0,0,0,0,0,0,0,0,0,0,-0.8521252888073871,0,1,0,0,0,0,0,0,0,0,0.8270832802143152,-0.7695224224301489,0,0,0,0.32180194249508953,0,0,1,12.206077645517675
9,0,0,0,0,0,1,-1.6873603384990394,0,0.6577586652168215,0,0,1,0,0,0,0,0,0,1,0,0,-0.23837128912125138,0,-0.14951986570443396,0,0,1,0,1,0,0,0.1384235846083828,0,-0.5709990188023198,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.11230213656169065,0,0,0,-0.5172362947592908,-0.03962134118983349,0,1,1,0,0,0,1,-0.6893493822089999,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,-1.3325411031560264,0,0,0,0,0,0,0,0,2.168392519798903,0,0,0,0,0,1,-0.8616904073875004,1,0,0,1,1,0,0,-0.884371559830132,0,0,1,0,0,0,0,-0.05407114669969432,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.26572716103977573,0,0,0,0,-0.4400672799993453,0,0,0,0,0,0,1,-1.9802487855555309,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-4.034109275038617,0,-1.0623066832728092,0,0,0,0,0,0,1,0,0,1,0,-0.8521252888073871,0,0,0,0,0,0,0,0,0,0,0.21856547626308678,-0.7695224224301489,0,0,0,-0.6501424543115165,0,0,0,11.774527900858464
10,0,0,0,0,0,1,-1.6873603384990394,0,-0.796496835877122,0,1,0,1,0,0,0,0,0,0,0,0,-0.23837128912125138,0,0.8928267578905917,0,1,0,1,0,0,0,0.1384235846083828,0,-0.5709990188023198,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11230213656169065,1,0,0,0.380991692683244,-0.03962134118983349,0,0,1,0,0,0,0,-0.6893493822089999,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,-1.0675560464574572,0,0,0,0,0,0,0,0,2.168392519798903,0,0,0,0,0,1,-0.8616904073875004,1,0,0,0,0,0,0,-0.9309536093456141,0,0,1,0,0,1,0,-1.0877693446104364,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.26572716103977573,0,0,0,0,-0.307350354915143,0,0,0,0,0,0,0,-1.6466150881678183,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4.238494828769646,1,-1.0623066832728092,0,0,0,0,0,0,0,0,0,0,0,-0.8521252888073871,0,1,1,0,0,0,0,0,0,0,-0.6315506914649561,-0.7695224224301489,0,0,0,-0.6501424543115165,0,0,0,11.678448377988165
