Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,Heating,HeatingQC,CentralAir,Electrical,BedroomAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalBaths,CarCapacity
1,60,RL,-0.20913319374837114,-0.21563645899639372,Pave,No Alley,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0.6492047270274413,-0.5072951451971073,1.0469140499179093,0.8977414603063226,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.5338305686557833,1.0437502187073568,-0.2301713547281521,PConc,0.6166689300833411,-0.009719039964690408,-0.648011920493013,GLQ,GasA,0.8864324854613843,Y,SBrkr,0.1696312403087172,0.7415185647590922,Typ,-0.9246099128032205,0.0010438362450237396,Attchd,RFn,0.15350177661026912,0.12758014784646965,Y,0,1,0,0,0,0,No Fence,No Shed,2,0.15747704540377266,WD,Normal,12.247699116372562,0.030273701856673753,1.5901578110415118,0.1577623319561977
2,20,RL,0.4981922185503922,-0.06755774495867983,Pave,No Alley,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,-0.06194515426933483,2.187190544046545,0.15539236933668768,-0.39465167651644956,Gable,CompShg,MetalSd,MetalSd,None,-0.5671527197050004,-0.6835912329104937,-0.2301713547281521,CBlock,0.6166689300833411,-0.009719039964690408,2.260555038451979,ALQ,GasA,0.8864324854613843,Y,SBrkr,0.1696312403087172,-0.7710975407421286,Typ,0.6275849667213581,-0.8057828263039906,Attchd,RFn,0.15350177661026912,0.12758014784646965,Y,1,0,0,0,0,0,No Fence,No Shed,5,-0.6027929287641044,WD,Normal,12.109016442313738,-0.023502108748436664,0.3508419812948732,-0.08103220402020755
3,60,RL,-0.06766811128861845,0.14490301866064875,Pave,No Alley,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0.6492047270274413,-0.5072951451971073,0.9808754069118926,0.8498750478314052,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.34284367169523927,1.0437502187073568,-0.2301713547281521,PConc,0.6166689300833411,-0.009719039964690408,0.3215103991553177,GLQ,GasA,0.8864324854613843,Y,SBrkr,0.1696312403087172,0.7415185647590922,Typ,0.6275849667213581,-0.8057828263039906,Attchd,RFn,0.15350177661026912,0.12758014784646965,Y,0,1,0,0,0,0,No Fence,No Shed,9,0.15747704540377266,WD,Normal,12.317171167298682,0.2095264038737084,1.5901578110415118,0.3205767883037468
4,70,RL,-0.44490833118129236,-0.0739959499168413,Pave,No Alley,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,0.6492047270274413,-0.5072951451971073,-1.858786242346812,-0.6818501513659545,Gable,CompShg,Wd Sdng,Wd Shng,None,-0.5671527197050004,-0.6835912329104937,-0.2301713547281521,BrkTil,-0.8366880209714777,3.4333532520692494,-0.648011920493013,ALQ,GasA,-0.15752435121284694,Y,SBrkr,0.1696312403087172,0.7415185647590922,Typ,0.6275849667213581,1.0156526664083174,Detchd,Unf,0.15350177661026912,0.12758014784646965,Y,0,1,1,0,0,0,No Fence,No Shed,2,-1.3630629029319814,WD,Abnorml,11.849404844423075,-0.08880130734035643,-0.2688159335784462,1.283895655026745
5,60,RL,0.6868123284967292,0.5324829571419694,Pave,No Alley,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,1.3603546083242175,-0.5072951451971073,0.9478560854088842,0.7541422228815702,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.398888866653542,1.0437502187073568,-0.2301713547281521,PConc,0.6166689300833411,-0.009719039964690408,1.2910327188036486,GLQ,GasA,0.8864324854613843,Y,SBrkr,1.3849744755426716,0.7415185647590922,Typ,0.6275849667213581,-0.8057828263039906,Attchd,RFn,0.15350177661026912,0.12758014784646965,Y,1,1,0,0,0,0,No Fence,No Shed,12,0.15747704540377266,WD,Normal,12.429220196836386,1.0251261980512163,1.5901578110415118,2.0735457683123606
6,50,RL,0.7339673559833133,0.5138121627633012,Pave,No Alley,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,-0.7730950355661109,-0.5072951451971073,0.716720834887827,0.5148101605069827,Gable,CompShg,VinylSd,VinylSd,None,-0.5671527197050004,-0.6835912329104937,-0.2301713547281521,Wood,0.6166689300833411,-0.009719039964690408,-0.648011920493013,GLQ,GasA,0.8864324854613843,Y,SBrkr,-2.261055230159191,-0.7710975407421286,Typ,-0.9246099128032205,0.0010438362450237396,Attchd,Unf,0.15350177661026912,0.12758014784646965,Y,1,1,0,1,0,0,MnPrv,Shed,10,0.9177470195716496,WD,Normal,11.870606902224589,-0.4921198868786845,0.3508419812948732,-0.02676071857102455
7,20,RL,0.262417081117471,-0.005235920963676774,Pave,No Alley,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,1.3603546083242175,-0.5072951451971073,1.0799333714209176,0.9934742852561576,Gable,CompShg,VinylSd,VinylSd,Stone,0.47765795190268207,1.0437502187073568,-0.2301713547281521,PConc,2.0700258811381596,-0.009719039964690408,1.2910327188036486,GLQ,GasA,0.8864324854613843,Y,SBrkr,0.1696312403087172,0.7415185647590922,Typ,0.6275849667213581,1.0156526664083174,Attchd,RFn,0.15350177661026912,0.12758014784646965,Y,1,1,0,0,0,0,No Fence,No Shed,8,-0.6027929287641044,WD,Normal,12.63460628389302,1.0725001264414329,0.9704998961681925,0.39655686793260314
8,60,RL,0.4981922185503922,0.0331357805869656,Pave,No Alley,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,0.6492047270274413,0.3908667512174432,0.0563344048276631,-0.5382509139412022,Gable,CompShg,HdBoard,HdBoard,Stone,0.7809900823694286,-0.6835912329104937,-0.2301713547281521,CBlock,0.6166689300833411,-0.009719039964690408,0.3215103991553177,ALQ,GasA,0.8864324854613843,Y,SBrkr,0.1696312403087172,-0.7710975407421286,Typ,2.179779846245937,-0.8057828263039906,Attchd,RFn,0.15350177661026912,0.12758014784646965,Y,1,1,1,0,0,0,No Fence,Shed,11,0.9177470195716496,WD,Normal,12.206077645517675,0.8381912373763086,1.5901578110415118,-0.015906421481187937
9,50,RM,-0.8693035785605501,-0.5156568100467183,Pave,No Alley,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,0.6492047270274413,-0.5072951451971073,-1.330477098298681,-1.6391784008643044,Gable,CompShg,BrkFace,Wd Shng,None,-0.5671527197050004,-0.6835912329104937,-0.2301713547281521,BrkTil,-0.8366880209714777,-0.009719039964690408,-0.648011920493013,Unf,GasA,-0.15752435121284694,Y,FuseF,-1.0457119949252371,-0.7710975407421286,Min1,2.179779846245937,-0.8057828263039906,Detchd,Unf,-3.9160124749896883,0.12758014784646965,Y,1,0,1,0,0,0,No Fence,No Shed,4,0.15747704540377266,WD,Abnorml,11.774527900858464,0.2351339327332848,-0.2688159335784462,-0.05932360984053438
10,190,RL,-0.9164586060471344,-0.34826348113452005,Pave,No Alley,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,-0.7730950355661109,0.3908667512174432,-1.0663225262746154,-1.6391784008643044,Gable,CompShg,MetalSd,MetalSd,None,-0.5671527197050004,-0.6835912329104937,-0.2301713547281521,BrkTil,-0.8366880209714777,-0.009719039964690408,-0.648011920493013,GLQ,GasA,0.8864324854613843,Y,SBrkr,-1.0457119949252371,-0.7710975407421286,Typ,2.179779846245937,-0.8057828263039906,Attchd,RFn,4.223016028210228,0.12758014784646965,Y,0,1,0,0,0,0,No Fence,No Shed,1,0.15747704540377266,WD,Normal,11.678448377988165,-0.6073537667467782,-0.2688159335784462,-1.0511350064243543
