Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalBaths,CarCapacity
1,60,RL,-0.20913319374837117,-0.2156364589963938,Pave,No Alley,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0.6492047270274389,-0.5072951451971087,1.04691404991791,0.8977414603063211,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.5338305686557839,1.0437502187073582,-0.2301713547281517,PConc,0.61666893008334,-0.009719039964690398,-0.6480119204930016,GLQ,GasA,0.8864324854613885,Y,SBrkr,0.4262531421553333,0.16963124030871665,0.7415185647590924,0.9920243555347904,Typ,-0.9246099128032265,0.0010438362450241971,Attchd,1.0015331968860886,RFn,0.15350177661026865,0.12758014784646926,Y,0,1,0,0,0,0,No Fence,No Shed,2,0.15747704540376914,WD,Normal,12.247699116372562,0.03027370185667376,1.5901578110415067,0.15776233195619765
2,20,RL,0.4981922185503925,-0.0675577449586799,Pave,No Alley,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,-0.06194515426933488,2.1871905440465516,0.1553923693366879,-0.39465167651644883,Gable,CompShg,MetalSd,MetalSd,None,-0.5671527197050009,-0.6835912329104947,-0.2301713547281517,CBlock,0.61666893008334,-0.009719039964690398,2.2605550384519373,ALQ,GasA,0.8864324854613885,Y,SBrkr,-0.4753380628535122,0.16963124030871665,-0.7710975407421293,-0.2865360956207669,Typ,0.6275849667213612,-0.8057828263039871,Attchd,-0.0845329412320439,RFn,0.15350177661026865,0.12758014784646926,Y,1,0,0,0,0,0,No Fence,No Shed,5,-0.6027929287640951,WD,Normal,12.109016442313738,-0.023502108748436654,0.35084198129487204,-0.08103220402020758
3,60,RL,-0.06766811128861845,0.14490301866064867,Pave,No Alley,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0.6492047270274389,-0.5072951451971087,0.9808754069118937,0.8498750478314037,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.3428436716952397,1.0437502187073582,-0.2301713547281517,PConc,0.61666893008334,-0.009719039964690398,0.3215103991553114,GLQ,GasA,0.8864324854613885,Y,SBrkr,0.5792016501479054,0.16963124030871665,0.7415185647590924,-0.2865360956207669,Typ,0.6275849667213612,-0.8057828263039871,Attchd,0.921083853321783,RFn,0.15350177661026865,0.12758014784646926,Y,0,1,0,0,0,0,No Fence,No Shed,9,0.15747704540376914,WD,Normal,12.317171167298682,0.2095264038737084,1.5901578110415067,0.32057678830374675
4,70,RL,-0.44490833118129247,-0.07399594991684137,Pave,No Alley,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,0.6492047270274389,-0.5072951451971087,-1.8587862423468138,-0.6818501513659533,Gable,CompShg,Wd Sdng,Wd Shng,None,-0.5671527197050009,-0.6835912329104947,-0.2301713547281517,BrkTil,-0.8366880209714778,3.4333532520692587,-0.6480119204930016,ALQ,GasA,-0.15752435121284789,Y,SBrkr,0.4403405047335965,0.16963124030871665,0.7415185647590924,0.3527441299570118,Typ,0.6275849667213612,1.0156526664083139,Detchd,0.8004098379753234,Unf,0.15350177661026865,0.12758014784646926,Y,0,1,1,0,0,0,No Fence,No Shed,2,-1.3630629029319592,WD,Abnorml,11.849404844423075,-0.08880130734035642,-0.2688159335784454,1.2838956550267449
5,60,RL,0.6868123284967296,0.5324829571419692,Pave,No Alley,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,1.3603546083242128,-0.5072951451971087,0.9478560854088853,0.7541422228815688,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.3988888666535437,1.0437502187073582,-0.2301713547281517,PConc,0.61666893008334,-0.009719039964690398,1.2910327188036244,GLQ,GasA,0.8864324854613885,Y,SBrkr,1.4083435618971116,1.3849744755426652,0.7415185647590924,1.6313045811125693,Typ,0.6275849667213612,-0.8057828263039871,Attchd,0.8808591815396296,RFn,0.15350177661026865,0.12758014784646926,Y,1,1,0,0,0,0,No Fence,No Shed,12,0.15747704540376914,WD,Normal,12.429220196836386,1.0251261980512163,1.5901578110415067,2.0735457683123593
6,50,RL,0.7339673559833136,0.513812162763301,Pave,No Alley,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,-0.7730950355661087,-0.5072951451971087,0.7167208348878278,0.5148101605069818,Gable,CompShg,VinylSd,VinylSd,None,-0.5671527197050009,-0.6835912329104947,-0.2301713547281517,Wood,0.61666893008334,-0.009719039964690398,-0.6480119204930016,GLQ,GasA,0.8864324854613885,Y,SBrkr,-0.27409002602118065,-2.26105523015918,-0.7710975407421293,-0.9258163211985456,Typ,-0.9246099128032265,0.0010438362450241971,Attchd,0.5992864790645581,Unf,0.15350177661026865,0.12758014784646926,Y,1,1,0,1,0,0,MnPrv,Shed,10,0.9177470195716333,WD,Normal,11.870606902224589,-0.49211988687868446,0.35084198129487204,-0.026760718571024567
7,20,RL,0.26241708111747114,-0.0052359209636768465,Pave,No Alley,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,1.3603546083242128,-0.5072951451971087,1.0799333714209183,0.9934742852561558,Gable,CompShg,VinylSd,VinylSd,Stone,0.4776579519026827,1.0437502187073582,-0.2301713547281517,PConc,2.0700258811381578,-0.009719039964690398,1.2910327188036244,GLQ,GasA,0.8864324854613885,Y,SBrkr,0.39405345626216026,0.16963124030871665,0.7415185647590924,0.3527441299570118,Typ,0.6275849667213612,1.0156526664083139,Attchd,1.0417578686682418,RFn,0.15350177661026865,0.12758014784646926,Y,1,1,0,0,0,0,No Fence,No Shed,8,-0.6027929287640951,WD,Normal,12.63460628389302,1.0725001264414327,0.9704998961681895,0.39655686793260303
8,60,RL,0.4981922185503925,0.03313578058696552,Pave,No Alley,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,0.6492047270274389,0.3908667512174447,0.056334404827663234,-0.5382509139412012,Gable,CompShg,HdBoard,HdBoard,Stone,0.7809900823694296,-0.6835912329104947,-0.2301713547281517,CBlock,0.61666893008334,-0.009719039964690398,0.3215103991553114,ALQ,GasA,0.8864324854613885,Y,SBrkr,1.1909956821181935,0.16963124030871665,-0.7710975407421293,0.3527441299570118,Typ,2.179779846245949,-0.8057828263039871,Attchd,-0.20520695657850307,RFn,0.15350177661026865,0.12758014784646926,Y,1,1,1,0,0,0,No Fence,Shed,11,0.9177470195716333,WD,Normal,12.206077645517675,0.8381912373763086,1.5901578110415067,-0.015906421481187965
9,50,RM,-0.8693035785605504,-0.5156568100467184,Pave,No Alley,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,0.6492047270274389,-0.5072951451971087,-1.3304770982986822,-1.6391784008643016,Gable,CompShg,BrkFace,Wd Shng,None,-0.5671527197050009,-0.6835912329104947,-0.2301713547281517,BrkTil,-0.8366880209714778,-0.009719039964690398,-0.6480119204930016,Unf,GasA,-0.15752435121284789,Y,FuseF,0.5550518857280256,-1.045711994925232,-0.7710975407421293,0.9920243555347904,Min1,2.179779846245949,-0.8057828263039871,Detchd,-1.894643171428932,Unf,-3.9160124749896963,0.12758014784646926,Y,1,0,1,0,0,0,No Fence,No Shed,4,0.15747704540376914,WD,Abnorml,11.774527900858464,0.2351339327332848,-0.2688159335784454,-0.059323609840534385
10,190,RL,-0.9164586060471347,-0.3482634811345201,Pave,No Alley,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,-0.7730950355661087,0.3908667512174447,-1.0663225262746165,-1.6391784008643016,Gable,CompShg,MetalSd,MetalSd,None,-0.5671527197050009,-0.6835912329104947,-0.2301713547281517,BrkTil,-0.8366880209714778,-0.009719039964690398,-0.6480119204930016,GLQ,GasA,0.8864324854613885,Y,SBrkr,-0.8476469309933258,-1.045711994925232,-0.7710975407421293,-0.9258163211985456,Typ,2.179779846245949,-0.8057828263039871,Attchd,-1.5728457971717071,RFn,4.223016028210234,0.12758014784646926,Y,0,1,0,0,0,0,No Fence,No Shed,1,0.15747704540376914,WD,Normal,11.678448377988165,-0.6073537667467782,-0.2688159335784454,-1.0511350064243539
